Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
39 32 26
46 37 28
46 35 24
45 38 32
39 37 35
42 39 36
57 44 30
63 56 48
63 58 53
62 53 41
39 38 36
42 40 37
55 46 36
55 47 39
39 38 36
35 34 30
37 32 26
44 34 24
53 43 33
50 44 37
43 38 34
37 32 26
46 38 30
37 32 26
30 26 21
28 24 19
30 22 15
33 24 16
46 40 34
39 28 17
Max Avg Min
22 20 16
25 22 18
35 28 22
35 30 27
39 35 30
36 34 32
39 35 30
41 37 33
59 53 43
61 52 34
37 35 32
36 31 28
37 34 30
43 38 34
34 29 23
30 26 22
30 26 22
41 31 21
37 34 32
36 34 32
40 33 22
29 25 22
32 28 25
28 25 20
20 18 15
28 23 15
22 17 15
26 20 13
34 29 25
28 16 2
Max Avg Min
84 - 39
78 - 36
91 - 46
97 - 49
97 - 75
93 - 66
100 - 45
59 - 42
96 - 64
100 - 76
100 - 79
93 - 58
89 - 42
97 - 45
87 - 55
85 - 61
100 - 55
100 - 65
100 - 47
83 - 54
100 - 54
89 - 54
85 - 58
100 - 54
88 - 59
100 - 69
100 - 56
96 - 66
79 - 55
87 - 49
Max Avg Min
16 - 9
17 - 0
13 - 0
12 - 0
14 - 0
18 - 4
23 - 0
22 - 13
20 - 9
18 - 0
16 - 0
16 - 0
22 - 4
15 - 0
16 - 6
14 - 8
13 - 0
13 - 0
16 - 4
13 - 0
22 - 4
16 - 0
17 - 4
13 - 6
12 - 4
15 - 5
12 - 0
15 - 4
20 - 9
26 - 9
Max Avg Min
30.29 - 30.17
30.15 - 30.07
30.13 - 29.99
30.15 - 30
30.1 - 29.72
30.11 - 29.8
30.13 - 29.75
29.74 - 29.61
29.61 - 29.31
29.57 - 29.26
30.19 - 29.58
30.25 - 30.1
30.13 - 29.85
29.95 - 29.83
30.22 - 29.95
30.25 - 30.09
30.1 - 30.05
30.12 - 29.89
30.06 - 29.93
30.04 - 29.87
29.94 - 29.71
30.11 - 29.94
30.06 - 29.87
30.25 - 30.04
30.43 - 30.24
30.41 - 30.33
30.41 - 30.32
30.31 - 29.77
29.72 - 29.47
30.15 - 29.48
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.17 -
- 0.00 -
- 0.01 -
- 0.03 -
- 0.18 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.00 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
