Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
93 83 75
93 84 75
93 83 73
90 80 70
81 74 69
84 75 66
89 78 66
93 82 70
80 74 68
78 73 69
73 68 64
79 68 57
82 69 57
88 72 57
91 76 62
89 80 70
89 77 66
91 82 73
81 76 71
90 76 63
96 88 79
90 84 77
75 70 64
79 71 64
80 72 66
88 80 72
89 80 71
88 81 73
82 78 73
91 80 69
93 82 71
Max Avg Min
73 71 67
70 66 63
71 70 69
75 69 58
64 60 51
65 61 58
67 64 60
74 70 64
74 70 66
68 61 55
60 53 46
60 53 46
60 53 48
57 53 47
64 60 55
66 63 57
69 66 63
71 65 42
73 65 46
75 66 56
77 75 73
76 71 58
66 58 48
63 52 42
71 64 54
75 72 68
76 73 69
78 75 71
74 72 69
72 69 65
72 68 61
Max Avg Min
91 - 47
76 - 37
85 - 45
82 - 50
84 - 39
90 - 47
84 - 46
87 - 52
100 - 70
96 - 53
81 - 40
100 - 32
100 - 32
90 - 29
86 - 38
81 - 39
93 - 48
87 - 31
97 - 37
93 - 42
88 - 47
87 - 41
84 - 37
84 - 28
91 - 59
91 - 61
100 - 61
91 - 72
96 - 63
96 - 47
96 - 34
Max Avg Min
14 - 5
17 - 0
15 - 0
14 - 4
16 - 6
10 - 0
12 - 0
15 - 0
22 - 4
18 - 6
18 - 6
13 - 0
13 - 0
15 - 0
9 - 0
9 - 0
12 - 0
14 - 4
14 - 5
9 - 0
15 - 6
15 - 4
20 - 5
14 - 5
12 - 4
10 - 0
18 - 0
14 - 4
17 - 4
13 - 0
16 - 0
Max Avg Min
30.11 - 30.04
30.13 - 30.02
30.06 - 29.95
30.14 - 29.99
30.22 - 30.13
30.26 - 30.17
30.24 - 30.13
30.14 - 29.94
30.09 - 29.94
30.18 - 30.07
30.22 - 30.13
30.13 - 30.01
30.02 - 29.97
30.05 - 29.99
30.1 - 30.03
30.12 - 30.04
30.09 - 29.96
29.97 - 29.87
29.99 - 29.88
30.03 - 29.94
29.97 - 29.83
29.99 - 29.86
30.22 - 30.01
30.25 - 30.14
30.12 - 29.91
29.91 - 29.84
29.92 - 29.71
29.85 - 29.73
29.91 - 29.77
30.02 - 29.92
30.02 - 29.93
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.19 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 2.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.29 -
- 0.00 -
- 0.07 -
- 0.00 -
- 0.00 -
