Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
75 64 55
66 60 54
69 59 50
72 58 46
77 62 46
82 72 62
87 74 60
91 82 73
84 75 64
71 63 55
80 73 66
80 69 60
81 72 64
82 74 66
80 72 62
82 72 61
81 72 64
80 71 63
64 57 50
73 60 48
66 63 60
73 64 55
82 69 57
70 62 53
72 60 50
75 64 54
80 66 53
75 65 55
81 68 57
82 72 62
Max Avg Min
53 50 49
57 51 42
45 41 37
49 43 32
52 47 42
62 58 54
70 64 58
72 69 66
70 67 61
66 59 27
71 67 64
68 64 60
67 64 61
67 64 62
61 57 54
72 65 55
70 61 30
64 59 43
53 40 33
50 45 42
64 58 50
59 50 45
58 54 49
59 48 38
49 44 38
52 47 43
57 51 47
58 53 47
55 52 50
58 56 55
Max Avg Min
78 - 43
87 - 56
74 - 36
80 - 30
97 - 33
78 - 47
93 - 49
82 - 50
93 - 51
100 - 21
97 - 66
100 - 71
97 - 54
94 - 51
78 - 45
90 - 65
93 - 23
90 - 48
80 - 33
80 - 36
100 - 65
96 - 38
77 - 39
83 - 42
93 - 33
83 - 37
90 - 34
90 - 39
81 - 35
80 - 39
Max Avg Min
23 - 7
15 - 0
16 - 4
13 - 4
10 - 0
14 - 0
18 - 4
16 - 6
16 - 4
9 - 4
16 - 0
15 - 0
16 - 0
23 - 4
14 - 0
10 - 0
16 - 0
16 - 0
16 - 0
12 - 0
28 - 0
16 - 4
18 - 5
15 - 0
12 - 0
15 - 0
13 - 0
13 - 0
14 - 4
13 - 0
Max Avg Min
29.72 - 29.56
30.11 - 29.73
30.27 - 30.14
30.24 - 30.12
30.11 - 29.93
29.93 - 29.87
29.98 - 29.87
30.03 - 29.94
30.04 - 29.97
30 - 29.83
29.89 - 29.78
29.93 - 29.86
29.89 - 29.76
29.93 - 29.81
30.07 - 29.93
30.04 - 29.93
30.06 - 29.91
30.15 - 30.05
30.32 - 30.18
30.22 - 29.93
29.93 - 29.69
29.98 - 29.76
29.98 - 29.84
30.16 - 29.88
30.19 - 30.05
30.14 - 30.06
30.15 - 30.06
30.14 - 30.06
30.15 - 30.09
30.14 - 30.04
Max Avg Min
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.21 -
- 0.10 -
- 0.22 -
- 0.00 -
- 0.23 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.83 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
