Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
33 27 21
57 45 32
56 40 24
31 26 21
36 29 21
32 27 21
26 20 14
25 20 14
35 28 20
35 30 25
48 36 23
44 36 28
57 46 35
57 44 30
39 33 27
37 32 26
39 35 30
42 39 36
48 41 33
49 39 28
34 32 29
37 32 27
42 34 26
39 33 27
58 47 35
51 41 31
45 39 32
40 34 27
44 35 26
42 39 36
60 50 39
Max Avg Min
24 16 12
48 38 25
48 29 12
21 17 10
28 21 17
28 17 11
13 10 2
14 10 6
25 20 12
25 23 19
30 23 18
31 28 26
36 34 30
36 32 27
29 25 22
23 21 19
34 28 24
41 37 33
34 28 22
24 22 16
30 27 22
29 21 4
27 20 16
26 22 19
37 29 24
30 28 25
36 32 29
30 25 20
29 23 19
38 33 24
56 45 37
Max Avg Min
69 - 49
93 - 69
100 - 55
77 - 58
84 - 47
92 - 43
74 - 53
88 - 55
85 - 59
85 - 56
88 - 42
85 - 57
85 - 36
89 - 38
78 - 59
81 - 52
89 - 55
100 - 79
85 - 42
75 - 26
92 - 61
92 - 25
85 - 40
85 - 52
69 - 30
85 - 39
92 - 58
92 - 50
78 - 39
100 - 59
100 - 80
Max Avg Min
16 - 0
26 - 8
18 - 8
28 - 6
13 - 4
18 - 5
22 - 6
16 - 0
12 - 0
13 - 4
24 - 5
15 - 0
21 - 0
15 - 0
20 - 6
17 - 5
20 - 7
16 - 0
20 - 7
14 - 5
25 - 8
21 - 0
15 - 4
26 - 0
32 - 9
15 - 0
21 - 0
17 - 5
23 - 0
20 - 0
25 - 0
Max Avg Min
30.26 - 30.06
30.04 - 29.68
30.05 - 29.6
30.05 - 29.86
30.02 - 29.87
30.3 - 29.98
30.33 - 30.12
30.16 - 29.99
30.34 - 30.16
30.4 - 30.29
30.32 - 29.8
29.99 - 29.63
29.77 - 29.58
29.8 - 29.65
30.12 - 29.81
30.5 - 30.13
30.49 - 30.05
30.04 - 29.77
30.01 - 29.8
30.33 - 30.02
30.32 - 29.93
30.33 - 30.01
30.33 - 30.25
30.41 - 30.14
30.09 - 29.73
30.16 - 30.03
30.05 - 29.88
30.41 - 30.01
30.47 - 30.29
30.29 - 30.1
30.09 - 29.51
Max Avg Min
- 0.00 -
- 0.07 -
- 0.61 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.47 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.70 -
