Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
89 79 68
81 73 65
84 73 61
87 79 70
87 78 69
84 76 67
82 73 64
79 71 63
80 71 62
74 66 58
77 68 59
77 69 61
79 73 66
79 71 63
78 70 61
83 71 58
84 74 63
85 75 65
82 73 63
81 73 65
82 75 68
83 78 72
87 78 68
77 70 63
74 69 64
76 69 61
83 72 61
80 72 63
85 75 64
87 72 56
90 75 60
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
87 - 46
87 - 42
90 - 40
90 - 57
90 - 51
78 - 34
78 - 35
90 - 39
78 - 58
78 - 44
84 - 50
84 - 50
81 - 45
93 - 45
90 - 33
84 - 34
73 - 47
81 - 34
93 - 58
87 - 45
79 - 47
84 - 65
93 - 46
78 - 49
73 - 44
90 - 46
84 - 31
87 - 62
90 - 32
86 - 30
84 - 27
Max Avg Min
22 - 0
15 - 0
15 - 0
26 - 0
15 - 0
14 - 0
22 - 0
14 - 0
23 - 0
17 - 0
12 - 0
12 - 0
17 - 0
16 - 0
16 - 0
15 - 0
14 - 0
15 - 0
16 - 0
14 - 0
18 - 0
32 - 0
18 - 0
17 - 0
20 - 0
17 - 0
14 - 0
22 - 0
13 - 0
14 - 0
17 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 1.05 -
- 0.00 -
- 0.00 -
- 2.43 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.04 -
- 0.00 -
- 0.00 -
