May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
70 64 58
69 61 53
72 61 50
79 65 50
72 64 56
63 55 46
59 52 45
50 46 42
58 48 38
58 50 41
52 48 44
51 48 44
73 61 48
66 57 47
61 52 43
66 54 41
58 54 50
65 56 46
74 59 44
74 61 47
73 65 56
74 66 58
89 76 62
91 81 70
88 79 69
87 77 66
77 69 61
79 68 57
86 73 59
91 76 61
81 74 66
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
90 - 52
100 - 52
89 - 33
71 - 28
60 - 18
71 - 42
93 - 71
76 - 60
85 - 30
76 - 28
100 - 86
100 - 86
100 - 64
86 - 44
86 - 47
89 - 48
83 - 47
77 - 40
83 - 25
86 - 41
100 - 68
100 - 64
93 - 47
90 - 44
73 - 43
84 - 45
84 - 33
68 - 38
78 - 42
90 - 34
93 - 60
Max Avg Min
20 - 0
16 - 0
21 - 0
28 - 0
25 - 0
17 - 0
32 - 0
30 - 0
14 - 0
30 - 0
29 - 0
21 - 0
26 - 0
23 - 0
13 - 0
18 - 0
17 - 0
30 - 0
16 - 0
22 - 0
18 - 0
15 - 0
21 - 0
16 - 0
18 - 0
21 - 0
20 - 0
17 - 0
13 - 0
15 - 0
31 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.11 -
- 0.93 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.72 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.97 -
- 0.12 -
- 1.49 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.21 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.26 -
