Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
81 76 71
83 74 65
70 63 56
68 60 51
76 63 49
82 74 66
77 68 58
71 61 51
67 59 50
72 64 55
75 67 58
83 69 54
82 70 57
77 66 54
75 67 59
69 61 53
74 62 49
65 62 58
67 61 55
75 69 62
88 78 68
74 69 63
89 77 65
80 68 56
60 56 52
60 55 50
65 57 48
71 59 46
75 64 52
74 63 52
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
93 - 58
93 - 62
93 - 47
83 - 37
86 - 41
68 - 34
69 - 31
83 - 40
89 - 45
80 - 44
93 - 52
86 - 31
86 - 26
78 - 31
84 - 49
93 - 55
93 - 44
90 - 67
80 - 52
84 - 65
87 - 42
93 - 66
93 - 41
90 - 49
83 - 51
83 - 57
86 - 48
93 - 33
93 - 31
83 - 38
Max Avg Min
20 - 0
26 - 0
26 - 0
22 - 0
17 - 0
25 - 0
37 - 0
15 - 0
13 - 0
17 - 0
17 - 0
16 - 0
17 - 0
16 - 0
18 - 0
17 - 0
14 - 0
22 - 0
15 - 0
12 - 0
32 - 0
10 - 0
33 - 0
37 - 0
20 - 0
20 - 0
12 - 0
12 - 0
17 - 0
22 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.17 -
- 1.55 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.24 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.00 -
- 0.35 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.26 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
