Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
45 37 28
54 45 36
72 54 35
68 54 40
54 44 33
59 51 42
46 43 39
45 43 40
66 55 44
83 70 56
67 56 44
58 49 40
68 52 36
53 47 40
51 44 37
49 42 35
53 44 35
41 37 32
38 36 34
43 38 32
50 41 32
46 43 39
64 55 45
56 51 45
54 50 45
68 58 47
55 49 43
45 43 40
62 49 36
71 60 48
Max Avg Min
39 31 18
36 32 27
59 45 30
59 42 29
28 25 21
41 35 28
41 39 37
44 42 39
53 47 43
65 62 54
53 43 36
35 27 15
34 31 26
36 35 34
43 37 29
48 40 30
36 30 26
36 32 30
36 34 30
36 33 30
38 31 25
45 41 37
50 46 41
44 40 35
50 41 35
57 52 47
50 46 36
39 36 32
38 32 25
54 44 30
Max Avg Min
92 - 38
89 - 35
82 - 37
93 - 53
75 - 28
96 - 40
100 - 76
100 - 92
100 - 63
93 - 54
80 - 48
73 - 22
89 - 26
85 - 50
86 - 52
100 - 70
70 - 48
100 - 73
100 - 82
100 - 67
89 - 45
100 - 92
100 - 46
80 - 61
100 - 63
100 - 60
93 - 70
85 - 65
92 - 29
67 - 45
Max Avg Min
17 - 0
22 - 5
32 - 6
33 - 10
22 - 8
15 - 0
17 - 6
17 - 0
15 - 0
31 - 8
25 - 10
17 - 0
14 - 0
25 - 5
26 - 12
26 - 4
28 - 0
20 - 9
26 - 10
21 - 0
17 - 0
25 - 0
28 - 4
14 - 0
22 - 5
31 - 6
18 - 0
22 - 8
16 - 0
31 - 6
Max Avg Min
29.72 - 29.59
29.98 - 29.69
29.95 - 29.2
29.68 - 29.18
29.84 - 29.71
29.97 - 29.69
30.11 - 29.96
30.03 - 29.9
30.02 - 29.78
29.75 - 29.47
29.93 - 29.52
30.14 - 29.96
30.12 - 30.02
30.23 - 30.08
30.17 - 29.47
29.74 - 29.32
29.9 - 29.73
30.05 - 29.83
29.96 - 29.6
30.26 - 29.61
30.42 - 30.2
30.18 - 29.61
29.99 - 29.61
30.06 - 29.96
30 - 29.63
29.59 - 29.35
29.61 - 29.47
29.87 - 29.53
30.03 - 29.89
30 - 29.73
Max Avg Min
- 0.18 -
- 0.00 -
- 0.13 -
- 0.11 -
- 0.00 -
- 0.00 -
- 0.25 -
- 0.51 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.34 -
- 0.20 -
- 0.08 -
- 0.49 -
- 0.95 -
- 0.01 -
- 0.03 -
- 0.56 -
- 0.00 -
- 0.00 -
- 0.34 -
- 0.38 -
- 0.31 -
- 0.03 -
- 0.00 -
- 0.00 -
