Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
48 40 32
43 37 31
39 36 33
42 36 29
45 37 29
33 32 30
36 33 29
37 31 25
36 29 21
36 25 14
20 15 10
35 26 16
36 26 15
36 33 29
43 37 30
47 41 34
49 39 28
39 33 27
38 31 24
45 34 22
41 37 33
44 37 29
40 35 29
35 31 26
27 22 16
53 35 17
40 33 25
44 34 23
59 47 35
Max Avg Min
35 33 30
36 32 28
32 31 30
32 30 26
32 28 25
28 27 25
31 26 19
19 17 13
23 18 15
31 21 1
2 1 -2
14 7 0
27 17 6
29 27 25
37 33 28
37 31 20
32 26 22
27 22 17
23 20 18
25 21 18
36 32 24
36 32 27
34 32 28
32 27 15
16 14 12
31 23 13
24 21 19
36 26 19
52 37 30
Max Avg Min
85 - 56
92 - 70
89 - 70
85 - 67
85 - 53
92 - 75
85 - 66
81 - 38
84 - 47
89 - 59
66 - 45
59 - 38
85 - 40
92 - 70
92 - 70
92 - 37
78 - 42
75 - 44
81 - 44
88 - 37
96 - 54
89 - 64
96 - 76
96 - 63
74 - 55
84 - 41
75 - 46
81 - 45
93 - 40
Max Avg Min
14 - 0
10 - 0
15 - 0
16 - 0
14 - 0
17 - 5
24 - 0
13 - 5
18 - 6
28 - 7
28 - 10
20 - 7
21 - 0
15 - 5
17 - 4
20 - 4
22 - 4
16 - 0
14 - 0
20 - 0
26 - 5
12 - 0
16 - 0
24 - 12
20 - 0
28 - 4
26 - 0
20 - 0
37 - 6
Max Avg Min
30.18 - 29.93
30.44 - 30.16
30.5 - 30.35
30.36 - 30.19
30.32 - 30.18
30.22 - 30.13
30.4 - 30.2
30.41 - 30.29
30.31 - 30.09
30.2 - 29.88
30.4 - 30.24
30.36 - 30.23
30.23 - 29.85
30.03 - 29.8
30.09 - 29.95
30.12 - 29.95
30.17 - 29.99
30.24 - 30.03
30.24 - 30.17
30.32 - 29.91
29.86 - 29.63
29.69 - 29.42
29.58 - 29.47
29.94 - 29.38
30.34 - 29.96
30.33 - 29.98
30.49 - 30.1
30.49 - 29.8
29.77 - 29.4
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.19 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.16 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.01 -
- 0.33 -
- 0.54 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.11 -
- 0.18 -
