Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
70 60 49
72 68 63
65 54 43
47 41 35
55 46 37
61 52 42
66 57 48
65 55 44
62 53 43
58 49 39
59 48 36
63 51 38
67 62 56
65 59 52
55 53 50
56 53 50
62 55 48
50 43 36
54 44 33
65 56 46
53 49 45
56 46 35
59 48 36
67 60 52
72 61 49
64 53 42
77 64 51
68 57 45
49 43 36
51 42 32
47 40 33
Max Avg Min
54 48 44
65 61 53
64 50 28
40 34 27
40 34 29
45 40 33
49 43 36
41 35 30
38 34 29
43 39 35
38 34 31
55 43 33
64 59 55
62 57 50
53 50 48
51 49 48
50 47 40
41 38 34
43 37 32
48 44 41
43 39 36
40 38 35
43 39 35
49 46 43
54 43 26
41 31 23
59 50 32
57 40 32
34 31 30
36 33 30
36 27 19
Max Avg Min
86 - 53
93 - 63
93 - 53
89 - 55
85 - 38
92 - 39
83 - 44
83 - 28
71 - 31
83 - 51
85 - 36
100 - 46
100 - 78
97 - 87
100 - 89
100 - 77
96 - 66
85 - 60
96 - 59
86 - 48
77 - 63
89 - 51
100 - 51
83 - 48
93 - 19
64 - 21
78 - 45
78 - 39
82 - 53
89 - 52
70 - 48
Max Avg Min
17 - 6
18 - 0
31 - 4
25 - 7
20 - 4
23 - 0
25 - 7
25 - 7
13 - 0
17 - 0
14 - 0
21 - 0
23 - 0
22 - 0
18 - 7
14 - 4
24 - 6
18 - 0
17 - 0
18 - 5
21 - 4
12 - 0
16 - 0
12 - 0
23 - 5
12 - 0
25 - 6
28 - 12
22 - 0
14 - 0
38 - 9
Max Avg Min
30.06 - 29.88
29.89 - 29.62
29.79 - 29.45
29.78 - 29.68
29.75 - 29.64
29.67 - 29.57
29.85 - 29.63
30.03 - 29.86
30.14 - 30.03
30.19 - 30.13
30.27 - 30.16
30.15 - 29.87
29.87 - 29.5
29.66 - 29.46
29.83 - 29.66
29.86 - 29.65
29.88 - 29.56
30.22 - 29.9
30.22 - 29.9
30 - 29.8
30.27 - 30
30.38 - 30.26
30.26 - 30.06
30.07 - 29.92
29.97 - 29.88
30.04 - 29.86
29.84 - 29.57
29.98 - 29.63
30.15 - 29.96
30.15 - 30.04
30.36 - 30.02
Max Avg Min
- 0.00 -
- 0.32 -
- 0.68 -
- 0.06 -
- 0.01 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.64 -
- 0.65 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
