Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
39 28 18
39 34 28
39 29 19
19 13 7
13 8 3
9 5 0
18 9 0
19 11 2
33 26 18
51 38 25
43 34 25
28 24 19
27 22 16
35 28 21
36 28 20
37 34 30
39 37 35
36 33 30
42 36 30
43 41 38
59 50 40
46 42 38
42 39 36
38 36 34
42 38 34
34 32 30
31 28 24
29 27 24
28 25 21
37 26 15
39 37 35
Max Avg Min
24 19 16
38 33 24
38 34 12
9 2 -2
0 -3 -8
-4 -7 -9
1 -3 -8
3 -3 -6
24 19 6
48 33 18
42 30 18
25 18 7
21 13 5
20 19 17
24 19 13
37 33 26
38 36 33
34 32 29
37 35 30
42 39 37
48 44 39
42 39 37
37 35 33
34 32 31
38 35 32
32 27 22
23 20 16
23 20 17
18 15 9
31 15 6
34 31 27
Max Avg Min
92 - 39
97 - 68
100 - 64
73 - 47
69 - 53
75 - 49
79 - 43
75 - 37
84 - 49
89 - 68
100 - 70
96 - 57
88 - 56
75 - 52
84 - 38
100 - 78
100 - 92
100 - 82
100 - 79
100 - 92
100 - 62
100 - 76
100 - 76
92 - 82
100 - 85
96 - 69
81 - 63
81 - 63
68 - 53
75 - 42
92 - 59
Max Avg Min
13 - 0
9 - 4
21 - 0
25 - 10
20 - 7
16 - 6
22 - 5
21 - 0
22 - 9
40 - 10
22 - 5
17 - 8
15 - 4
9 - 0
7 - 0
12 - 0
16 - 4
16 - 4
12 - 4
13 - 0
20 - 0
14 - 0
16 - 5
15 - 0
22 - 6
22 - 10
22 - 8
20 - 8
22 - 6
23 - 5
25 - 9
Max Avg Min
30.19 - 30.01
30.16 - 29.87
29.93 - 29.75
30.09 - 29.94
30.15 - 30.03
30.47 - 30.14
30.68 - 30.47
30.76 - 30.42
30.37 - 29.93
29.96 - 29.2
30.01 - 29.64
30.55 - 29.87
30.82 - 30.56
30.61 - 30.45
30.48 - 30.31
30.3 - 29.82
30.02 - 29.72
30.15 - 30
30.06 - 29.69
29.69 - 29.61
29.61 - 29.45
29.71 - 29.57
29.83 - 29.69
29.91 - 29.75
29.74 - 29.42
29.94 - 29.57
29.94 - 29.77
29.84 - 29.73
29.97 - 29.79
30.03 - 29.47
29.94 - 29.49
Max Avg Min
- 0.00 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.20 -
- 0.33 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.90 -
- 0.48 -
- 0.00 -
- 0.46 -
- 0.18 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.03 -
