Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
53 41 28
54 44 33
58 44 29
65 55 44
44 36 27
35 31 26
29 24 19
37 28 18
32 26 20
35 28 20
39 31 23
31 24 17
38 30 22
27 22 16
37 29 21
46 37 27
42 36 29
46 43 39
50 43 35
37 32 27
40 36 32
39 36 33
33 26 19
22 20 18
21 12 2
5 1 -3
7 2 -4
15 8 0
15 12 9
15 7 -1
13 6 -1
Max Avg Min
28 26 24
32 30 27
35 31 26
54 45 35
34 17 7
19 14 9
16 11 6
21 13 6
26 20 12
20 17 12
31 25 17
15 8 6
31 21 9
20 11 7
23 18 12
30 25 21
34 32 28
40 37 33
35 27 17
25 20 13
29 25 21
31 30 24
25 17 10
18 14 7
10 3 -9
-8 -10 -12
-5 -9 -12
6 3 -6
10 7 3
8 -5 -11
-1 -6 -14
Max Avg Min
78 - 38
76 - 41
85 - 36
78 - 50
70 - 35
63 - 38
74 - 42
69 - 40
85 - 57
73 - 56
89 - 59
67 - 52
69 - 53
74 - 42
74 - 49
92 - 45
100 - 62
89 - 65
79 - 31
78 - 43
75 - 48
82 - 70
78 - 53
84 - 52
80 - 51
69 - 56
75 - 55
79 - 55
88 - 64
80 - 54
69 - 52
Max Avg Min
13 - 0
10 - 0
18 - 0
35 - 14
38 - 10
24 - 9
18 - 8
20 - 7
26 - 4
18 - 4
28 - 0
30 - 5
31 - 5
20 - 4
25 - 5
18 - 0
10 - 0
22 - 6
21 - 6
17 - 4
14 - 6
16 - 4
18 - 4
18 - 4
22 - 7
15 - 4
15 - 0
17 - 0
13 - 4
24 - 7
18 - 7
Max Avg Min
30.27 - 30.16
30.16 - 30.07
30.22 - 29.98
29.96 - 29.49
30.01 - 29.61
30.08 - 29.95
30.21 - 30.05
30.09 - 29.75
30.09 - 29.64
30.1 - 29.87
30.08 - 29.69
30.12 - 29.94
29.9 - 29.27
30.11 - 29.81
30.02 - 29.88
30.08 - 29.84
30.09 - 29.98
29.96 - 29.85
30.11 - 29.84
30.18 - 30.06
30.1 - 29.92
30.06 - 29.91
30.29 - 30
30.3 - 30.01
30.48 - 30.13
30.69 - 30.49
30.81 - 30.69
30.75 - 30.35
30.4 - 30.2
30.51 - 30.19
30.68 - 30.48
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.18 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.08 -
- 0.00 -
- 0.00 -
