date,hi_temp,avg_temp,lo_temp,hi_dp,avg_dp,lo_dp,hi_hum,avg_hum,lo_hum,hi_wind,avg_wind,lo_wind,hi_pres,avg_pres,lo_pres,hi_precip,avg_precip,lo_precip
01/01/2001,26,20,12,17,12,8,88,nan,60,14,nan,4,30.57,nan,30.39,nan,0.0,nan
01/02/2001,19,13,7,11,7,2,88,nan,68,14,nan,4,30.69,nan,30.43,nan,0.0,nan
01/03/2001,28,18,9,26,17,3,93,nan,73,18,nan,6,30.39,nan,30.04,nan,0.0,nan
01/04/2001,32,26,23,26,23,19,93,nan,79,22,nan,4,30.16,nan,29.58,nan,0.0,nan
01/05/2001,37,32,24,28,24,16,82,nan,59,22,nan,5,29.9,nan,29.55,nan,0.31,nan
01/06/2001,35,27,19,26,21,14,86,nan,64,20,nan,4,29.9,nan,29.66,nan,0.05,nan
01/07/2001,35,30,23,29,23,16,89,nan,59,15,nan,6,30.04,nan,29.72,nan,0.0,nan
01/08/2001,28,22,17,18,15,7,81,nan,53,14,nan,6,30.26,nan,30.04,nan,0.0,nan
01/09/2001,25,18,12,16,12,6,85,nan,62,17,nan,5,30.38,nan,30.24,nan,0.0,nan
01/10/2001,35,27,19,25,20,13,82,nan,59,16,nan,7,30.25,nan,30.14,nan,0.0,nan
01/11/2001,37,31,25,26,23,20,85,nan,62,9,nan,4,30.17,nan,30.1,nan,0.0,nan
01/12/2001,36,32,28,32,29,23,92,nan,75,8,nan,0,30.28,nan,30.14,nan,0.0,nan
01/13/2001,37,35,33,32,31,28,93,nan,78,14,nan,5,30.27,nan,30.06,nan,0.0,nan
01/14/2001,37,35,33,36,33,26,100,nan,70,14,nan,6,30.05,nan,29.85,nan,0.23,nan
01/15/2001,35,34,32,34,32,27,100,nan,81,18,nan,8,30.08,nan,29.88,nan,0.01,nan
01/16/2001,32,30,27,28,25,21,88,nan,74,15,nan,7,30.33,nan,30.08,nan,0.0,nan
01/17/2001,27,24,21,23,20,18,92,nan,77,13,nan,6,30.36,nan,30.16,nan,0.0,nan
01/18/2001,32,26,19,25,21,17,100,nan,73,14,nan,6,30.17,nan,29.96,nan,0.0,nan
01/19/2001,28,24,19,25,20,14,88,nan,69,18,nan,4,30.27,nan,29.98,nan,0.0,nan
01/20/2001,26,20,14,15,12,8,81,nan,53,13,nan,6,30.31,nan,30.24,nan,0.0,nan
01/21/2001,27,20,12,15,12,5,88,nan,61,10,nan,0,30.43,nan,30.29,nan,0.0,nan
01/22/2001,30,22,15,26,16,10,89,nan,64,10,nan,0,30.47,nan,30.27,nan,0.0,nan
01/23/2001,36,30,23,26,24,20,92,nan,64,12,nan,5,30.26,nan,30.13,nan,0.0,nan
01/24/2001,28,24,19,23,17,11,89,nan,60,20,nan,7,30.42,nan,30.1,nan,0.0,nan
01/25/2001,26,20,15,16,11,8,78,nan,53,14,nan,6,30.52,nan,30.25,nan,0.0,nan
01/26/2001,32,28,24,30,23,15,96,nan,66,20,nan,7,30.23,nan,29.72,nan,0.0,nan
01/27/2001,27,22,17,19,13,9,77,nan,60,17,nan,9,30.36,nan,30.05,nan,0.0,nan
01/28/2001,30,22,15,28,18,8,93,nan,65,12,nan,4,30.36,nan,30.17,nan,0.0,nan
01/29/2001,43,36,30,41,34,30,100,nan,81,23,nan,6,30.2,nan,29.4,nan,0.62,nan
01/30/2001,39,36,33,37,34,31,100,nan,85,15,nan,0,29.55,nan,29.31,nan,0.16,nan
01/31/2001,36,33,28,34,30,23,93,nan,73,16,nan,7,30.01,nan,29.53,nan,0.0,nan
02/01/2001,33,21,6,23,17,-3,93,nan,49,20,nan,7,30.23,nan,30.03,nan,0.0,nan
02/02/2001,14,7,0,4,-2,-8,73,nan,59,17,nan,7,30.4,nan,30.25,nan,0.0,nan
02/03/2001,32,21,12,28,17,7,92,nan,66,15,nan,0,30.32,nan,29.98,nan,0.0,nan
02/04/2001,36,34,33,32,30,26,92,nan,75,12,nan,0,30.01,nan,29.92,nan,0.02,nan
02/05/2001,32,30,28,31,26,23,100,nan,78,16,nan,7,30.06,nan,29.88,nan,0.0,nan
02/06/2001,37,32,25,32,27,21,93,nan,52,12,nan,0,30.25,nan,29.85,nan,0.11,nan
02/07/2001,36,28,21,30,25,19,100,nan,67,15,nan,0,30.37,nan,30.11,nan,0.0,nan
02/08/2001,53,44,36,52,45,29,100,nan,70,22,nan,0,30.09,nan,29.76,nan,0.68,nan
02/09/2001,53,38,22,52,37,13,100,nan,33,24,nan,5,30.12,nan,29.52,nan,0.1,nan
02/10/2001,22,18,14,13,10,6,88,nan,60,14,nan,5,30.66,nan,30.16,nan,0.0,nan
02/11/2001,28,20,13,17,10,-7,74,nan,37,14,nan,0,30.69,nan,30.44,nan,0.0,nan
02/12/2001,39,32,25,29,23,15,78,nan,57,14,nan,4,30.41,nan,30.25,nan,0.0,nan
02/13/2001,39,36,33,36,31,28,93,nan,70,9,nan,0,30.37,nan,30.05,nan,0.04,nan
02/14/2001,37,34,30,37,33,24,100,nan,76,18,nan,0,30.05,nan,29.9,nan,0.16,nan
02/15/2001,33,32,30,28,25,22,85,nan,72,14,nan,0,30.12,nan,30.02,nan,0.0,nan
02/16/2001,32,25,16,28,21,3,87,nan,51,18,nan,0,30.43,nan,30.07,nan,0.0,nan
02/17/2001,21,14,8,4,0,-3,67,nan,38,21,nan,9,30.63,nan,30.45,nan,0.0,nan
02/18/2001,28,18,9,19,6,-2,70,nan,36,18,nan,7,30.6,nan,30.19,nan,0.0,nan
02/19/2001,44,36,28,32,26,18,79,nan,57,18,nan,6,30.16,nan,29.92,nan,0.0,nan
02/20/2001,37,29,19,31,18,1,85,nan,35,17,nan,4,30.42,nan,30.06,nan,0.0,nan
02/21/2001,21,16,10,12,0,-10,68,nan,24,16,nan,4,30.63,nan,30.39,nan,0.0,nan
02/22/2001,28,24,21,23,19,12,88,nan,63,22,nan,5,30.35,nan,30.06,nan,0.0,nan
02/23/2001,30,24,19,21,16,11,80,nan,51,16,nan,7,30.43,nan,30.13,nan,0.01,nan
02/24/2001,57,42,30,55,35,20,100,nan,64,23,nan,8,30.32,nan,29.45,nan,1.25,nan
02/25/2001,55,42,28,53,31,19,90,nan,64,36,nan,16,30.29,nan,29.38,nan,0.02,nan
02/26/2001,41,32,24,29,23,19,84,nan,53,14,nan,0,30.45,nan,30.31,nan,0.0,nan
02/27/2001,30,24,19,25,10,-1,82,nan,37,13,nan,7,30.51,nan,30.44,nan,0.0,nan
02/28/2001,28,20,12,14,2,-9,65,nan,30,15,nan,5,30.44,nan,30.07,nan,0.0,nan
03/01/2001,42,32,21,28,16,2,82,nan,33,20,nan,7,30.08,nan,29.79,nan,0.0,nan
03/02/2001,42,37,32,32,30,28,92,nan,65,21,nan,0,29.81,nan,29.73,nan,0.0,nan
03/03/2001,48,37,26,32,28,25,100,nan,46,8,nan,0,29.88,nan,29.8,nan,0.0,nan
03/04/2001,35,30,25,32,23,15,89,nan,58,24,nan,0,30.09,nan,29.84,nan,0.0,nan
03/05/2001,28,24,19,25,13,4,93,nan,41,26,nan,7,30.18,nan,30.03,nan,0.0,nan
03/06/2001,34,28,21,21,17,10,69,nan,52,18,nan,6,30.25,nan,30.16,nan,0.0,nan
03/07/2001,45,34,24,24,19,16,72,nan,33,21,nan,5,30.19,nan,30,nan,0.0,nan
03/08/2001,35,32,28,27,22,16,80,nan,46,17,nan,7,30.06,nan,29.9,nan,0.0,nan
03/09/2001,39,32,25,21,18,15,75,nan,41,15,nan,0,30.17,nan,30.08,nan,0.0,nan
03/10/2001,50,38,25,39,25,19,93,nan,37,24,nan,0,30.11,nan,29.81,nan,0.01,nan
03/11/2001,39,34,30,33,26,21,93,nan,53,17,nan,7,30.19,nan,29.88,nan,0.08,nan
03/12/2001,50,42,33,47,36,26,96,nan,67,22,nan,7,30.04,nan,29.47,nan,0.17,nan
03/13/2001,43,38,32,33,29,27,92,nan,56,24,nan,9,29.82,nan,29.47,nan,0.0,nan
03/14/2001,51,40,30,41,33,27,89,nan,52,16,nan,4,29.91,nan,29.81,nan,0.03,nan
03/15/2001,46,42,37,41,37,32,97,nan,74,23,nan,6,29.86,nan,29.8,nan,0.4,nan
03/16/2001,35,34,32,33,30,28,100,nan,81,26,nan,6,30.08,nan,29.8,nan,0.12,nan
03/17/2001,37,32,28,30,26,20,96,nan,48,18,nan,0,30.42,nan,30.05,nan,0.08,nan
03/18/2001,45,35,25,27,23,18,92,nan,34,10,nan,0,30.51,nan,30.43,nan,0.0,nan
03/19/2001,46,38,30,26,21,18,79,nan,35,12,nan,0,30.46,nan,30.36,nan,0.0,nan
03/20/2001,50,42,34,28,25,20,76,nan,35,13,nan,5,30.36,nan,30.2,nan,0.0,nan
03/21/2001,53,43,33,32,25,17,78,nan,24,17,nan,0,30.19,nan,30.12,nan,0.0,nan
03/22/2001,57,45,33,35,32,28,89,nan,35,16,nan,0,30.15,nan,30.01,nan,0.0,nan
03/23/2001,48,42,35,34,31,27,85,nan,43,18,nan,5,30.14,nan,30,nan,0.0,nan
03/24/2001,37,30,23,25,12,9,62,nan,37,23,nan,12,30.28,nan,30.04,nan,0.0,nan
03/25/2001,25,22,19,16,10,1,86,nan,37,18,nan,10,30.29,nan,30.21,nan,0.0,nan
03/26/2001,33,25,17,17,10,3,68,nan,38,14,nan,5,30.32,nan,30.25,nan,0.0,nan
03/27/2001,37,32,26,22,19,15,71,nan,42,12,nan,4,30.36,nan,30.26,nan,0.0,nan
