Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
30 18 3
12 6 0
30 19 10
34 30 27
32 29 26
35 29 19
35 26 17
53 42 33
54 36 19
19 16 12
27 18 10
37 29 21
37 34 32
36 32 28
32 30 27
30 23 14
18 12 6
28 18 7
42 35 28
35 27 18
19 14 10
27 23 19
30 23 18
55 42 30
55 42 28
39 31 23
28 23 17
27 20 12
Max Avg Min
21 16 -3
3 -2 -8
27 19 5
31 29 24
31 25 22
32 26 19
31 24 16
52 43 32
52 34 12
13 7 4
19 12 3
29 23 18
32 30 27
36 32 23
25 24 21
27 18 2
3 0 -3
17 6 -2
32 26 18
29 17 5
11 -1 -9
22 18 11
21 15 9
54 35 21
54 30 20
27 22 17
19 8 -4
14 2 -5
Max Avg Min
92 - 57
76 - 61
96 - 69
100 - 81
96 - 78
96 - 61
100 - 72
100 - 89
100 - 74
77 - 59
81 - 66
85 - 59
89 - 76
100 - 80
85 - 73
86 - 55
70 - 48
76 - 39
85 - 62
82 - 42
71 - 30
93 - 71
81 - 45
100 - 69
94 - 67
86 - 55
69 - 37
72 - 33
Max Avg Min
17 - 5
18 - 5
13 - 6
12 - 0
14 - 7
10 - 0
17 - 0
17 - 0
28 - 5
14 - 5
16 - 0
14 - 4
9 - 0
16 - 0
10 - 0
20 - 0
20 - 7
16 - 8
20 - 5
18 - 7
14 - 0
21 - 5
16 - 6
23 - 7
34 - 13
14 - 0
15 - 8
14 - 6
Max Avg Min
30.21 - 30.01
30.35 - 30.22
30.28 - 29.96
30 - 29.89
30.02 - 29.86
30.23 - 29.83
30.34 - 30.09
30.06 - 29.75
30.14 - 29.53
30.63 - 30.18
30.66 - 30.4
30.38 - 30.22
30.35 - 30.04
30.04 - 29.91
30.1 - 30.04
30.4 - 30.07
30.6 - 30.43
30.57 - 30.15
30.12 - 29.91
30.41 - 30.04
30.61 - 30.36
30.33 - 30.03
30.39 - 30.11
30.3 - 29.4
30.26 - 29.35
30.42 - 30.28
30.5 - 30.41
30.42 - 30.04
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.47 -
- 0.11 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
