May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
82 72 62
81 72 64
86 72 57
60 54 48
66 56 48
75 65 55
66 60 55
75 62 48
80 67 54
81 69 57
64 54 44
57 47 39
68 54 39
66 54 44
88 72 57
89 76 64
84 73 62
80 66 57
73 62 48
77 62 48
70 62 55
66 53 46
63 53 44
60 52 44
59 50 44
57 47 39
61 54 48
66 58 51
62 53 44
60 52 45
62 54 48
Max Avg Min
57 53 50
59 53 50
57 52 49
54 47 40
52 46 38
63 49 35
63 56 43
49 45 42
50 46 43
62 55 43
63 53 40
41 34 26
37 33 27
53 46 36
68 62 52
69 63 51
66 62 59
58 41 32
44 41 38
54 48 41
66 60 45
46 42 38
46 43 39
48 46 42
48 45 39
50 44 27
52 49 46
56 52 48
52 44 33
39 35 31
50 46 34
Max Avg Min
75 - 34
65 - 38
84 - 31
93 - 69
89 - 42
97 - 39
96 - 46
83 - 34
80 - 28
94 - 38
100 - 71
86 - 39
89 - 25
86 - 43
84 - 43
90 - 28
93 - 43
59 - 33
80 - 30
80 - 34
96 - 56
89 - 46
93 - 52
100 - 58
100 - 49
100 - 41
96 - 67
97 - 57
97 - 39
80 - 36
96 - 48
Max Avg Min
24 - 6
16 - 8
16 - 5
16 - 7
17 - 7
25 - 5
17 - 4
24 - 5
16 - 5
17 - 0
22 - 0
15 - 0
9 - 0
22 - 0
15 - 5
14 - 0
10 - 0
17 - 4
12 - 0
18 - 0
21 - 7
25 - 5
20 - 4
12 - 0
12 - 0
20 - 0
16 - 0
10 - 0
20 - 0
14 - 0
18 - 5
Max Avg Min
29.97 - 29.8
30.01 - 29.86
30.13 - 30.02
30.23 - 30.13
30.22 - 30.09
30.13 - 29.95
30.17 - 29.99
30.19 - 30.05
30.15 - 29.97
30.02 - 29.78
30.16 - 29.85
30.33 - 30.17
30.33 - 30.19
30.19 - 29.87
29.85 - 29.62
29.72 - 29.55
29.79 - 29.68
29.92 - 29.76
29.97 - 29.89
29.89 - 29.57
29.63 - 29.38
29.75 - 29.63
29.72 - 29.59
29.8 - 29.69
29.83 - 29.77
29.81 - 29.57
29.83 - 29.62
29.97 - 29.82
30.19 - 29.98
30.23 - 30.16
30.14 - 29.67
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.18 -
- 0.11 -
- 0.00 -
- 0.00 -
- 0.23 -
- 0.49 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.16 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.07 -
- 0.06 -
- 0.16 -
- 0.07 -
- 0.79 -
- 0.17 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.35 -
