Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
91 84 77
84 78 73
84 76 70
87 75 64
89 76 64
91 80 70
95 84 75
93 83 75
95 82 71
77 70 66
77 69 61
84 72 61
75 67 61
75 68 60
77 67 59
70 68 66
78 70 61
70 66 61
73 68 62
79 68 59
81 72 63
86 76 68
73 71 69
80 72 66
79 74 70
84 76 68
84 73 64
78 68 57
82 69 57
84 76 68
75 68 62
Max Avg Min
75 73 71
76 73 72
74 71 65
68 64 60
71 68 64
72 68 62
78 73 70
76 73 66
76 72 67
73 60 55
61 56 32
65 59 56
68 60 51
56 52 47
65 55 47
68 65 59
61 56 39
64 61 58
63 60 32
58 56 53
66 60 53
73 68 62
70 68 65
72 67 64
73 71 68
69 65 62
70 65 61
67 58 50
61 57 51
69 65 61
68 61 52
Max Avg Min
90 - 52
100 - 74
100 - 62
100 - 43
100 - 49
93 - 37
100 - 51
97 - 42
100 - 41
100 - 52
87 - 20
87 - 39
100 - 49
80 - 38
83 - 42
100 - 68
93 - 25
97 - 71
100 - 30
90 - 43
88 - 49
96 - 63
100 - 76
97 - 65
100 - 79
97 - 51
100 - 56
97 - 40
100 - 36
100 - 51
96 - 64
Max Avg Min
14 - 5
15 - 0
12 - 0
12 - 0
9 - 0
10 - 5
16 - 0
10 - 0
20 - 0
15 - 5
12 - 0
10 - 0
18 - 0
14 - 0
10 - 0
18 - 0
15 - 0
16 - 0
21 - 7
14 - 0
14 - 0
30 - 0
12 - 4
13 - 4
16 - 5
12 - 0
16 - 0
13 - 0
13 - 0
14 - 4
17 - 0
Max Avg Min
30.22 - 30.13
30.21 - 30.08
30.1 - 30.02
30.07 - 30.01
30.14 - 30.08
30.18 - 30.09
30.14 - 30.02
30.06 - 29.92
29.92 - 29.72
30.09 - 29.87
30.09 - 30.03
30.11 - 30.04
30.19 - 30.05
30.18 - 30.03
30.04 - 29.82
29.94 - 29.68
30.05 - 29.95
29.95 - 29.75
29.99 - 29.72
30.08 - 30
30.12 - 29.98
30.01 - 29.85
30.1 - 29.92
30.12 - 30.01
29.99 - 29.81
29.98 - 29.84
30 - 29.81
30.06 - 29.86
30.08 - 29.91
29.91 - 29.77
30.05 - 29.8
Max Avg Min
- 0.00 -
- 1.21 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.61 -
- 0.00 -
- 0.47 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.42 -
- 0.00 -
- 0.26 -
- 0.34 -
- 0.00 -
- 0.09 -
- 1.32 -
- 0.16 -
- 0.43 -
- 1.63 -
- 0.00 -
- 0.45 -
- 0.01 -
- 0.00 -
- 4.30 -
- 0.01 -
