Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
82 74 68
71 66 60
63 59 57
72 64 54
63 54 46
69 58 48
55 48 41
66 54 45
64 56 48
73 62 51
73 60 48
72 60 50
50 42 35
57 44 32
60 48 39
50 42 35
45 40 37
62 49 36
51 43 33
52 40 30
55 44 34
50 42 37
46 42 39
46 44 42
46 44 42
46 42 37
46 42 39
48 42 37
46 44 42
46 44 41
46 39 30
Max Avg Min
69 64 56
68 64 57
62 58 55
70 62 44
48 44 41
54 46 35
39 34 26
41 37 34
53 48 39
55 51 46
54 50 41
61 55 46
44 28 20
29 27 24
40 33 28
34 31 23
41 35 30
49 41 36
38 33 30
35 31 27
40 35 31
39 35 32
41 38 35
40 38 35
46 43 39
46 40 36
38 31 24
39 36 34
37 34 32
37 35 32
36 32 20
Max Avg Min
91 - 53
100 - 86
100 - 88
100 - 63
89 - 46
83 - 47
81 - 34
80 - 32
97 - 57
100 - 41
100 - 33
100 - 73
85 - 35
82 - 33
73 - 48
92 - 37
96 - 68
100 - 53
89 - 54
100 - 44
96 - 47
89 - 54
96 - 68
92 - 68
100 - 86
100 - 66
89 - 45
97 - 58
76 - 65
86 - 56
86 - 61
Max Avg Min
16 - 0
15 - 0
15 - 5
25 - 0
18 - 0
26 - 6
18 - 0
14 - 4
10 - 0
9 - 0
12 - 0
22 - 0
20 - 4
16 - 0
12 - 4
13 - 0
12 - 0
21 - 4
20 - 5
12 - 0
13 - 0
14 - 4
15 - 7
16 - 7
14 - 0
13 - 4
13 - 0
16 - 4
21 - 10
16 - 5
15 - 4
Max Avg Min
29.99 - 29.89
30.04 - 29.94
30.07 - 29.87
29.91 - 29.45
30.2 - 29.94
30.11 - 29.78
30.3 - 30.1
30.21 - 30.06
30.17 - 30.09
30.19 - 30.11
30.17 - 30.06
30.19 - 29.98
30.45 - 30.21
30.42 - 30.02
30 - 29.91
30.07 - 29.99
30.02 - 29.95
30.01 - 29.73
30.08 - 29.78
30.16 - 30.06
30.17 - 30.02
30.37 - 30.06
30.45 - 30.34
30.4 - 30.23
30.23 - 29.94
30.18 - 29.96
30.29 - 30.19
30.19 - 30.1
30.09 - 29.99
30.16 - 30.03
30.22 - 30.16
Max Avg Min
- 0.01 -
- 0.35 -
- 0.00 -
- 0.63 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.10 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.14 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.10 -
- 0.24 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
