Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
86 72 59
89 75 62
93 78 64
93 83 73
88 77 68
88 78 68
88 78 69
78 70 64
73 68 63
82 72 64
77 68 62
81 70 61
82 70 59
84 70 57
86 77 68
84 70 59
86 74 64
75 68 63
82 68 53
86 76 66
82 74 66
73 68 62
75 67 59
80 67 55
82 72 61
82 76 71
82 75 66
73 66 57
82 68 54
84 68 54
86 74 64
Max Avg Min
58 53 49
58 55 51
69 65 57
72 68 65
70 67 61
72 68 61
76 70 63
68 64 59
63 61 58
67 64 57
59 56 54
59 55 49
61 56 54
63 59 54
72 65 60
61 57 51
72 66 60
61 55 46
59 53 48
72 65 56
70 65 58
60 58 55
59 53 45
51 48 44
62 57 52
66 63 60
73 64 57
63 58 47
56 51 46
59 55 51
67 63 61
Max Avg Min
87 - 30
84 - 29
81 - 39
83 - 42
100 - 49
100 - 45
100 - 58
94 - 58
90 - 59
100 - 54
81 - 53
93 - 36
84 - 41
93 - 41
100 - 46
96 - 38
97 - 56
84 - 39
89 - 33
97 - 58
100 - 58
90 - 59
83 - 42
80 - 30
78 - 41
73 - 51
77 - 57
93 - 47
100 - 29
97 - 37
90 - 47
Max Avg Min
15 - 0
14 - 0
15 - 0
25 - 0
23 - 0
16 - 0
25 - 0
24 - 0
18 - 0
20 - 0
20 - 5
12 - 0
13 - 0
15 - 0
24 - 0
9 - 0
29 - 0
18 - 4
8 - 0
37 - 0
18 - 0
16 - 6
15 - 5
10 - 0
16 - 0
18 - 7
18 - 5
9 - 0
8 - 0
10 - 0
12 - 0
Max Avg Min
30.12 - 29.95
29.96 - 29.81
29.87 - 29.76
29.9 - 29.74
29.93 - 29.82
29.93 - 29.79
29.95 - 29.73
30.06 - 29.92
30.05 - 29.83
29.82 - 29.65
29.88 - 29.72
30.06 - 29.88
30.11 - 30.05
30.1 - 29.92
30 - 29.78
30.15 - 30.02
30.14 - 30.01
30.12 - 30.04
30.13 - 30
29.99 - 29.73
29.81 - 29.62
29.97 - 29.81
30.07 - 29.97
30.14 - 30.07
30.17 - 30.08
30.11 - 29.95
30.05 - 29.92
30.06 - 29.99
30.05 - 29.97
30.05 - 29.99
30.01 - 29.92
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.54 -
- 0.69 -
- 0.14 -
- 0.31 -
- 0.13 -
- 0.18 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.00 -
- 1.23 -
- 0.00 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.60 -
- 0.23 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.02 -
