Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
28 20 12
32 28 24
32 21 9
26 14 1
28 26 25
30 28 26
28 22 10
26 16 8
30 27 24
27 20 14
34 23 12
27 22 17
28 19 10
33 26 19
21 16 9
26 16 6
34 24 14
43 30 16
44 36 28
45 39 33
39 34 28
44 34 23
44 40 37
36 34 32
37 30 24
41 34 26
44 36 27
54 40 27
61 48 35
Max Avg Min
16 10 2
32 24 14
32 21 -1
19 4 -12
27 21 16
27 24 20
26 20 9
21 16 6
24 21 18
24 16 8
24 16 9
20 16 11
16 11 5
25 18 12
14 11 6
11 7 3
20 16 10
31 23 14
35 31 27
43 35 23
30 26 23
34 28 21
36 33 29
34 30 24
29 25 19
28 25 23
28 25 21
30 28 24
40 32 24
Max Avg Min
71 - 51
100 - 60
100 - 59
88 - 39
100 - 63
100 - 72
92 - 66
92 - 74
80 - 66
89 - 58
88 - 59
86 - 74
84 - 51
79 - 56
88 - 65
88 - 41
92 - 48
96 - 56
96 - 65
96 - 65
93 - 55
100 - 51
86 - 58
100 - 70
93 - 59
88 - 49
92 - 40
92 - 39
67 - 39
Max Avg Min
16 - 4
12 - 0
16 - 0
10 - 0
18 - 5
14 - 0
15 - 0
20 - 0
25 - 10
21 - 5
14 - 5
16 - 7
24 - 9
15 - 4
13 - 4
10 - 0
14 - 0
16 - 0
13 - 0
25 - 7
20 - 0
12 - 0
13 - 6
17 - 6
15 - 4
15 - 4
12 - 0
12 - 0
14 - 0
Max Avg Min
30.35 - 30.26
30.25 - 29.78
30.37 - 29.77
30.56 - 30.4
30.51 - 29.88
29.92 - 29.8
30.42 - 29.89
30.46 - 30.04
30.11 - 29.92
30.16 - 30.03
30.18 - 30.06
30.32 - 30.15
30.28 - 30.01
30.22 - 30
30.5 - 30.23
30.57 - 30.42
30.49 - 30.4
30.47 - 30
29.98 - 29.58
29.6 - 29.23
30.14 - 29.61
30.22 - 30.12
30.13 - 30
30.36 - 30.14
30.43 - 30.34
30.38 - 30.33
30.44 - 30.36
30.42 - 30.23
30.22 - 29.95
Max Avg Min
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.12 -
- 0.02 -
- 0.01 -
- 0.01 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.19 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
