Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
61 54 46
61 51 41
70 53 35
35 32 28
40 34 27
36 30 23
32 27 22
40 34 28
43 36 29
52 39 26
43 38 33
38 36 33
51 42 32
49 42 35
58 44 29
62 47 32
70 53 36
50 45 39
58 50 41
68 53 38
77 60 43
83 68 52
70 61 51
68 56 44
49 47 45
56 51 45
53 48 43
73 56 39
82 64 45
67 59 51
Max Avg Min
53 42 37
45 39 36
56 45 30
27 19 15
17 13 10
11 7 3
14 10 5
24 18 14
27 23 19
28 24 19
36 33 25
34 30 28
28 25 22
29 22 17
27 21 15
28 23 20
42 29 15
39 36 33
39 37 34
39 36 34
42 39 36
49 45 41
53 48 42
45 41 38
46 44 42
51 46 43
45 43 41
50 42 36
58 46 40
61 44 35
Max Avg Min
83 - 57
82 - 46
89 - 57
75 - 49
58 - 30
55 - 28
57 - 42
69 - 41
78 - 39
92 - 31
100 - 49
96 - 70
78 - 32
64 - 31
59 - 26
64 - 21
65 - 28
89 - 61
82 - 47
79 - 34
71 - 27
68 - 26
72 - 44
86 - 37
93 - 86
100 - 86
93 - 71
100 - 27
80 - 26
84 - 34
Max Avg Min
32 - 10
17 - 0
31 - 6
30 - 15
25 - 8
24 - 7
21 - 8
13 - 4
14 - 0
22 - 0
26 - 7
22 - 6
16 - 0
20 - 0
22 - 5
17 - 4
23 - 0
21 - 8
17 - 5
14 - 0
18 - 0
30 - 6
31 - 5
22 - 0
28 - 12
15 - 6
14 - 4
23 - 0
35 - 0
28 - 0
Max Avg Min
29.79 - 29.58
29.99 - 29.81
29.91 - 29.66
30.14 - 29.82
30.18 - 30.11
30.11 - 29.96
30.06 - 29.98
30.12 - 30.03
30.1 - 30.02
30.08 - 29.86
29.86 - 29.34
30.06 - 29.39
30.25 - 30.08
30.12 - 29.92
30.02 - 29.91
30.14 - 29.99
29.99 - 29.88
30.01 - 29.92
30.18 - 29.99
30.29 - 30.19
30.26 - 30.04
30.05 - 29.8
30.06 - 29.7
30.14 - 30.01
29.98 - 29.9
29.87 - 29.59
29.92 - 29.65
29.98 - 29.87
30.03 - 29.87
30 - 29.9
Max Avg Min
- 0.09 -
- 0.00 -
- 0.15 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.15 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.30 -
- 1.06 -
- 0.49 -
- 0.00 -
- 0.00 -
- 0.15 -
- 0.01 -
