Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
27 16 4
20 11 2
23 12 0
36 29 22
43 39 35
60 51 41
65 58 51
56 47 37
39 35 30
44 38 32
36 32 28
41 33 25
37 32 27
27 21 15
26 20 13
40 30 20
33 23 12
27 17 6
6 2 -3
10 3 -5
27 18 8
29 20 10
14 10 5
10 3 -4
20 8 -5
32 26 19
35 21 6
44 32 20
48 25 2
12 5 -2
26 18 10
Max Avg Min
23 15 -3
9 1 -5
14 5 -4
24 19 14
43 36 24
55 49 39
57 53 48
54 48 34
33 29 27
36 32 29
32 29 24
32 28 23
32 26 19
19 17 9
16 12 7
24 20 16
31 21 5
18 8 -1
-3 -10 -13
-6 -10 -13
25 10 -7
25 13 -1
9 4 -1
-3 -10 -14
14 3 -12
25 17 12
21 16 7
34 27 20
46 28 -7
0 -6 -13
24 17 -2
Max Avg Min
88 - 69
79 - 62
91 - 56
74 - 58
96 - 59
100 - 78
100 - 73
100 - 85
85 - 70
92 - 57
89 - 75
92 - 59
89 - 69
84 - 68
80 - 63
84 - 50
89 - 56
84 - 62
76 - 56
68 - 45
92 - 42
92 - 58
84 - 66
83 - 45
84 - 51
92 - 63
92 - 56
92 - 45
93 - 70
65 - 53
92 - 53
Max Avg Min
24 - 10
18 - 4
23 - 4
23 - 10
23 - 10
24 - 6
29 - 5
28 - 5
25 - 4
21 - 5
16 - 5
15 - 0
22 - 5
20 - 8
15 - 5
24 - 7
28 - 5
23 - 6
21 - 8
18 - 6
17 - 0
23 - 10
17 - 0
16 - 7
18 - 0
21 - 5
13 - 0
33 - 7
36 - 12
33 - 4
22 - 0
Max Avg Min
30.41 - 29.87
30.76 - 30.42
30.75 - 30.38
30.36 - 30.03
30.01 - 29.83
29.86 - 29.66
29.85 - 29.76
29.8 - 29.55
30.15 - 29.85
30.07 - 29.39
29.93 - 29.42
30.04 - 29.92
29.99 - 29.9
30.13 - 29.98
30.19 - 30.1
30.19 - 30.03
30.02 - 29.64
30.21 - 29.96
30.4 - 30.21
30.65 - 30.4
30.69 - 30.07
30.17 - 29.94
30.16 - 30.05
30.55 - 30.15
30.56 - 30.19
30.17 - 29.86
30.16 - 30.04
30.02 - 29.37
29.57 - 29.05
30.4 - 29.59
30.5 - 30.05
Max Avg Min
- 0.05 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.03 -
- 0.66 -
- 0.00 -
- 0.30 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.10 -
- 0.08 -
- 0.04 -
- 0.00 -
- 0.03 -
- 0.05 -
- 0.00 -
- 0.02 -
- 0.20 -
- 0.00 -
- 0.25 -
