Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
54 51 48
67 58 48
73 64 54
71 61 50
71 59 47
65 55 45
47 41 35
40 38 35
39 35 30
39 33 26
38 31 23
48 43 38
55 50 44
52 47 42
42 39 35
37 33 29
36 31 26
34 28 21
44 37 29
36 29 22
29 23 17
35 26 17
45 33 20
38 35 32
40 34 28
42 33 24
45 34 22
44 35 26
44 32 20
39 36 33
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
86 - 64
86 - 60
77 - 47
74 - 47
80 - 44
87 - 55
85 - 65
89 - 76
89 - 53
75 - 44
85 - 59
93 - 76
100 - 61
89 - 68
70 - 54
82 - 56
78 - 40
71 - 35
59 - 47
58 - 40
67 - 35
74 - 41
84 - 39
89 - 59
78 - 44
81 - 39
92 - 45
81 - 40
92 - 43
96 - 59
Max Avg Min
15 - 0
18 - 0
20 - 0
15 - 0
26 - 0
25 - 0
21 - 0
22 - 0
21 - 0
15 - 0
20 - 0
18 - 0
25 - 0
23 - 0
28 - 0
18 - 0
22 - 0
18 - 0
26 - 0
24 - 0
18 - 0
15 - 0
17 - 0
23 - 0
21 - 0
10 - 0
23 - 0
15 - 0
12 - 0
22 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.00 -
- 0.10 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.34 -
- 0.06 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.29 -
- 0.04 -
- 0.06 -
- 0.05 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.14 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.67 -
