Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
78 65 51
60 54 48
61 52 43
68 55 42
79 62 44
63 57 51
73 63 52
80 66 52
67 61 55
67 61 54
64 59 53
74 62 49
68 61 54
77 64 51
81 67 53
71 65 59
71 66 61
80 71 61
86 76 65
87 78 68
84 77 70
89 79 68
94 83 71
94 85 75
94 85 75
86 78 69
89 76 62
83 75 66
77 70 63
66 63 59
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
93 - 59
86 - 64
86 - 36
76 - 30
83 - 30
83 - 55
89 - 63
93 - 58
93 - 67
83 - 52
86 - 67
86 - 44
93 - 56
83 - 31
83 - 28
93 - 40
100 - 68
84 - 62
97 - 70
93 - 40
90 - 51
84 - 55
84 - 44
82 - 44
76 - 46
79 - 37
87 - 39
87 - 30
67 - 43
78 - 63
Max Avg Min
26 - 0
18 - 0
22 - 0
10 - 0
17 - 0
14 - 0
17 - 0
24 - 0
13 - 0
14 - 0
18 - 0
13 - 0
13 - 0
12 - 0
16 - 0
23 - 0
14 - 0
16 - 0
30 - 0
17 - 0
10 - 0
13 - 0
10 - 0
38 - 0
15 - 0
13 - 0
22 - 0
30 - 0
23 - 0
15 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.44 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.04 -
- 0.45 -
- 0.00 -
- 0.01 -
- 0.01 -
- 0.00 -
- 0.33 -
- 0.00 -
- 0.00 -
- 1.23 -
- 0.00 -
- 0.12 -
- 3.97 -
- 0.00 -
- 0.01 -
- 0.09 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.30 -
- 0.00 -
- 0.00 -
- 0.00 -
