Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
93 82 71
92 84 76
89 79 69
73 66 58
65 59 52
66 59 51
70 61 52
75 66 57
72 66 60
78 67 56
83 70 57
86 75 64
73 65 56
58 53 47
59 51 42
58 52 46
68 59 50
65 60 55
69 62 54
74 62 49
71 64 56
64 58 51
62 55 48
62 57 51
64 58 51
60 57 53
63 59 54
63 58 53
66 58 49
57 51 45
Max Avg Min
74 71 67
72 69 66
72 68 64
66 56 49
50 45 43
49 45 43
50 47 41
58 53 48
63 60 55
64 60 56
61 59 56
62 59 57
59 54 47
53 43 30
40 34 32
44 40 38
51 45 41
63 55 45
64 59 54
58 53 48
56 50 46
50 47 45
46 44 41
50 48 45
55 53 50
56 52 45
54 53 51
55 54 52
56 51 43
45 41 38
Max Avg Min
84 - 56
79 - 49
93 - 46
93 - 47
77 - 51
72 - 48
89 - 36
80 - 44
100 - 68
100 - 54
93 - 43
84 - 40
86 - 38
96 - 40
71 - 39
77 - 51
77 - 40
100 - 55
100 - 63
100 - 41
84 - 45
89 - 52
86 - 49
89 - 64
100 - 72
100 - 66
93 - 80
100 - 80
100 - 63
80 - 55
Max Avg Min
16 - 0
17 - 0
20 - 0
22 - 6
26 - 9
20 - 4
23 - 5
25 - 0
15 - 0
9 - 0
14 - 0
22 - 4
20 - 0
16 - 0
20 - 0
13 - 0
21 - 0
15 - 4
13 - 0
16 - 0
23 - 6
14 - 5
13 - 5
15 - 0
15 - 0
25 - 0
18 - 0
15 - 0
33 - 4
30 - 7
Max Avg Min
29.97 - 29.86
29.93 - 29.86
29.92 - 29.85
30.03 - 29.84
30.14 - 30.04
30.21 - 30.13
30.19 - 30.13
30.12 - 30
29.98 - 29.94
30.03 - 29.96
30.04 - 29.95
30 - 29.81
29.99 - 29.78
30.22 - 29.98
30.38 - 30.22
30.4 - 30.28
30.32 - 30.22
30.23 - 29.93
30.03 - 29.89
30.07 - 29.93
30.02 - 29.89
30.12 - 30.01
30.11 - 30.02
30.03 - 29.96
29.97 - 29.8
29.79 - 29.5
29.78 - 29.64
29.81 - 29.74
29.81 - 29.61
30.17 - 29.71
Max Avg Min
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.43 -
- 0.24 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.14 -
- 0.08 -
- 1.21 -
- 0.31 -
- 0.77 -
- 0.06 -
- 0.09 -
