Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
59 44 29
63 54 44
70 58 46
59 49 38
40 34 27
46 39 32
46 44 41
42 39 36
41 38 35
38 35 31
34 29 24
46 37 28
49 41 32
50 38 26
50 44 37
49 44 38
40 35 30
41 36 31
43 38 32
49 41 33
33 27 20
32 25 17
34 28 21
34 31 28
33 29 25
33 31 28
33 31 28
32 31 29
32 26 20
33 24 14
35 28 20
Max Avg Min
51 43 31
54 49 43
61 55 45
52 35 24
28 23 16
40 33 27
42 37 34
37 33 28
40 37 33
34 27 20
25 21 18
28 24 21
30 26 22
33 29 25
48 42 30
47 39 33
34 30 26
37 31 25
37 32 28
48 38 30
30 21 13
22 16 11
27 23 17
27 25 21
25 22 18
25 23 21
28 24 21
28 28 25
29 23 14
26 17 10
25 20 10
Max Avg Min
100 - 71
100 - 65
100 - 66
77 - 38
82 - 52
83 - 65
100 - 70
92 - 64
100 - 85
96 - 64
88 - 51
78 - 45
75 - 36
92 - 42
100 - 62
93 - 76
85 - 70
92 - 76
92 - 70
100 - 85
92 - 68
88 - 54
92 - 69
85 - 69
85 - 64
75 - 63
85 - 69
92 - 78
92 - 74
88 - 59
75 - 64
Max Avg Min
25 - 0
22 - 0
30 - 0
20 - 5
15 - 6
10 - 6
13 - 0
18 - 7
20 - 0
20 - 5
22 - 5
20 - 6
25 - 6
12 - 0
21 - 7
18 - 7
10 - 0
20 - 0
22 - 0
33 - 0
36 - 9
12 - 5
13 - 0
17 - 5
20 - 4
28 - 12
16 - 0
13 - 0
20 - 4
21 - 9
21 - 7
Max Avg Min
30.13 - 29.88
30.06 - 29.86
30.03 - 29.75
30.29 - 29.9
30.44 - 30.22
30.21 - 29.91
29.96 - 29.87
30.1 - 29.86
30.09 - 29.7
29.95 - 29.7
30.15 - 29.94
30.29 - 30.16
30.27 - 30.09
30.2 - 30.03
30.01 - 29.57
29.73 - 29.57
29.74 - 29.64
29.81 - 29.59
30.06 - 29.82
29.81 - 29.02
30.19 - 29.43
30.23 - 29.96
30.02 - 29.93
30.09 - 29.85
30.32 - 30.11
30.19 - 29.97
30.19 - 30.06
30.12 - 29.86
30.22 - 29.84
30.35 - 30.08
30.15 - 30.01
Max Avg Min
- 0.00 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.74 -
- 0.15 -
- 0.21 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.34 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 1.26 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
