Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
46 40 34
48 39 30
43 38 33
46 39 32
40 37 33
41 36 31
34 30 25
34 29 24
41 32 23
41 32 23
40 34 28
46 38 30
35 27 19
48 35 22
50 39 28
38 34 29
46 38 30
57 42 27
46 40 33
37 33 29
40 33 25
50 36 22
43 34 25
40 36 32
41 34 27
53 42 31
51 45 39
54 47 39
50 43 35
49 41 33
58 45 32
Max Avg Min
36 31 21
27 21 16
28 22 14
25 19 13
31 24 16
33 31 27
26 17 12
18 15 12
19 16 12
24 17 12
23 20 16
29 23 18
26 21 9
28 18 11
27 24 22
25 21 19
26 20 14
27 21 17
28 25 22
24 21 17
25 20 15
25 18 10
26 21 17
27 21 18
21 15 13
45 31 17
49 43 34
39 36 34
42 37 28
29 26 22
40 31 21
Max Avg Min
92 - 41
85 - 28
75 - 30
75 - 30
89 - 40
96 - 70
85 - 47
68 - 47
74 - 33
81 - 32
72 - 40
75 - 33
85 - 47
68 - 31
75 - 36
75 - 52
75 - 31
69 - 24
75 - 41
75 - 52
78 - 37
75 - 21
81 - 36
70 - 44
56 - 34
93 - 34
93 - 70
83 - 50
89 - 65
82 - 39
76 - 50
Max Avg Min
25 - 5
13 - 0
15 - 4
22 - 7
28 - 10
23 - 4
22 - 8
21 - 6
14 - 0
13 - 0
18 - 0
24 - 5
20 - 7
26 - 5
16 - 0
18 - 5
20 - 4
10 - 0
28 - 0
26 - 10
21 - 4
15 - 4
17 - 0
28 - 7
21 - 9
22 - 5
16 - 4
13 - 0
22 - 0
16 - 0
30 - 5
Max Avg Min
30.27 - 29.74
30.48 - 30.3
30.57 - 30.46
30.48 - 30.28
30.27 - 29.82
29.8 - 29.61
30.04 - 29.81
30.05 - 29.99
30.06 - 29.98
30.17 - 30.05
30.24 - 30.17
30.17 - 30.07
30.23 - 30.14
30.21 - 29.79
30.06 - 29.79
30.22 - 30.06
30.05 - 29.9
30.09 - 29.92
29.95 - 29.88
29.94 - 29.9
30.26 - 29.91
30.38 - 30.26
30.39 - 30.27
30.28 - 30.17
30.39 - 30.3
30.32 - 29.99
30.07 - 29.89
30.05 - 29.91
30.08 - 29.85
30.26 - 30.09
30.18 - 29.79
Max Avg Min
- 0.81 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.11 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.23 -
- 0.15 -
- 0.01 -
- 0.05 -
- 0.00 -
- 0.09 -
