Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
33 32 30
30 29 28
34 29 24
33 27 21
33 32 30
34 30 25
45 35 25
54 46 37
41 36 28
28 22 14
19 14 9
32 21 10
28 24 19
19 14 10
21 13 5
25 20 16
24 17 10
21 14 6
28 16 3
21 18 14
18 13 8
14 10 3
12 5 -2
16 10 3
34 24 15
19 13 6
19 10 1
33 26 19
28 24 21
30 26 23
35 34 33
Max Avg Min
26 22 20
25 23 20
25 21 19
27 23 17
31 30 27
30 22 15
32 27 20
35 31 25
28 24 15
18 9 2
4 1 -1
14 8 4
17 5 -3
14 8 -2
7 1 -3
8 6 0
6 3 0
18 7 -2
20 9 -2
11 0 -4
-2 -6 -10
-4 -7 -10
-8 -11 -14
5 -4 -8
25 14 3
12 -1 -8
8 0 -8
27 21 9
25 20 15
25 19 16
34 31 26
Max Avg Min
75 - 66
86 - 66
86 - 54
93 - 59
100 - 87
93 - 52
82 - 60
76 - 47
79 - 51
86 - 45
64 - 40
77 - 35
71 - 34
86 - 54
74 - 42
71 - 45
67 - 44
93 - 61
80 - 61
63 - 38
58 - 29
55 - 42
57 - 39
67 - 36
93 - 42
85 - 45
79 - 54
93 - 61
89 - 69
81 - 69
100 - 72
Max Avg Min
23 - 12
17 - 6
13 - 4
13 - 0
12 - 0
18 - 5
23 - 7
18 - 6
25 - 10
23 - 10
20 - 6
20 - 4
20 - 7
17 - 6
14 - 4
16 - 4
18 - 5
15 - 6
18 - 7
16 - 7
16 - 5
18 - 8
18 - 7
15 - 6
18 - 8
18 - 5
21 - 0
13 - 0
16 - 0
17 - 5
18 - 5
Max Avg Min
30.11 - 30.02
30.08 - 29.97
30.12 - 29.99
30.1 - 29.87
30.14 - 29.86
30.45 - 30.1
30.32 - 29.67
29.7 - 29.35
29.85 - 29.47
30.16 - 29.86
30.46 - 30.15
30.48 - 30.04
30.3 - 30.04
30.35 - 30.22
30.46 - 30.35
30.39 - 30.12
30.38 - 30.18
30.15 - 29.84
30.07 - 29.78
30.2 - 29.92
30.35 - 30.21
30.49 - 30.35
30.63 - 30.49
30.63 - 30.36
30.35 - 30.09
30.57 - 30.15
30.58 - 30.15
30.13 - 29.98
30.43 - 30.08
30.4 - 30.06
30.05 - 29.81
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.10 -
- 0.05 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.14 -
