Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
41 36 30
36 31 26
39 34 30
39 36 34
42 38 33
37 34 30
39 34 28
44 40 37
50 46 41
55 42 30
28 22 15
25 18 12
30 24 19
30 28 26
37 30 24
42 33 24
26 22 19
28 24 19
30 24 19
30 22 14
46 36 27
44 40 37
37 32 27
26 22 19
36 27 18
42 32 23
48 41 34
48 45 42
48 39 30
41 34 26
42 36 30
Max Avg Min
22 14 10
24 13 3
24 20 17
34 30 21
36 32 28
32 28 24
30 28 24
39 34 30
47 42 39
50 42 23
22 14 7
11 6 3
24 18 12
25 23 21
30 27 22
36 26 17
19 18 17
22 20 17
23 16 9
15 9 6
33 26 15
35 34 33
34 27 23
22 14 11
20 15 12
29 23 18
28 24 21
45 38 24
43 29 20
30 23 19
28 21 13
Max Avg Min
55 - 29
64 - 26
73 - 41
93 - 59
93 - 58
85 - 64
85 - 64
89 - 65
100 - 86
100 - 74
80 - 55
73 - 39
89 - 51
93 - 72
96 - 73
86 - 69
89 - 71
89 - 71
78 - 50
74 - 36
70 - 47
93 - 65
93 - 73
84 - 59
81 - 41
81 - 45
64 - 39
87 - 38
83 - 47
78 - 53
63 - 33
Max Avg Min
25 - 8
9 - 0
15 - 6
14 - 7
24 - 7
9 - 4
12 - 0
14 - 6
12 - 0
24 - 8
18 - 9
13 - 0
18 - 4
13 - 0
18 - 10
24 - 9
16 - 0
15 - 0
22 - 9
20 - 4
21 - 10
14 - 5
18 - 4
14 - 5
13 - 5
10 - 0
28 - 7
25 - 9
22 - 0
22 - 10
21 - 4
Max Avg Min
30.52 - 30.14
30.61 - 30.49
30.5 - 30.32
30.28 - 30.02
30.3 - 29.96
30.37 - 30.27
30.28 - 30.05
30.05 - 29.89
29.95 - 29.61
29.75 - 29.32
30.23 - 29.78
30.43 - 30.24
30.42 - 30.07
30.04 - 29.96
30 - 29.68
29.9 - 29.55
29.99 - 29.86
29.96 - 29.85
30.22 - 29.88
30.34 - 30.13
30.11 - 29.85
29.97 - 29.86
29.99 - 29.82
30.14 - 30
30.29 - 30.12
30.38 - 30.29
30.3 - 29.92
29.95 - 29.87
29.94 - 29.81
30.19 - 29.95
30.35 - 30.02
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.30 -
- 0.44 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.37 -
- 0.39 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.01 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.19 -
- 0.00 -
- 0.00 -
- 0.00 -
