May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
60 56 54
70 62 55
73 64 55
68 62 57
60 54 48
55 49 43
71 58 45
73 63 53
73 64 57
73 65 57
57 48 39
45 41 37
50 45 42
55 48 41
61 54 50
64 56 48
73 61 50
62 54 46
61 54 46
73 58 43
63 55 46
59 50 42
75 58 44
79 68 57
73 68 64
82 72 64
87 74 63
93 83 73
91 82 73
87 78 68
80 72 66
Max Avg Min
55 52 49
56 53 46
56 52 47
57 43 40
43 40 37
39 33 24
38 34 32
48 40 35
56 51 48
58 54 40
52 47 38
43 39 36
44 42 40
47 42 40
50 48 46
54 49 46
54 49 45
46 40 33
39 37 36
44 40 35
46 35 29
39 35 32
37 32 28
63 52 33
64 62 59
63 62 58
64 61 59
70 65 58
69 65 61
70 66 61
68 63 49
Max Avg Min
93 - 77
96 - 45
86 - 39
81 - 40
77 - 49
74 - 30
63 - 26
54 - 33
70 - 47
90 - 33
100 - 72
100 - 81
100 - 71
97 - 62
96 - 69
93 - 60
92 - 39
93 - 35
71 - 41
79 - 30
74 - 36
79 - 42
71 - 19
90 - 35
94 - 59
94 - 50
87 - 44
82 - 31
79 - 43
94 - 43
93 - 52
Max Avg Min
14 - 4
14 - 0
14 - 0
15 - 4
14 - 4
13 - 0
13 - 0
15 - 6
18 - 6
16 - 0
25 - 8
17 - 7
7 - 0
15 - 0
18 - 7
12 - 0
21 - 0
30 - 0
15 - 0
18 - 0
16 - 0
13 - 0
10 - 0
21 - 5
17 - 6
13 - 0
18 - 0
18 - 8
22 - 5
22 - 0
20 - 0
Max Avg Min
30.06 - 29.99
29.98 - 29.9
30.01 - 29.91
30 - 29.92
30.02 - 29.95
30.12 - 30.02
30.06 - 29.94
29.98 - 29.84
29.85 - 29.68
29.71 - 29.56
29.56 - 29.39
29.6 - 29.37
29.8 - 29.57
29.96 - 29.78
29.94 - 29.87
29.87 - 29.74
29.75 - 29.55
29.71 - 29.6
29.86 - 29.7
29.93 - 29.78
30.13 - 29.81
30.25 - 30.14
30.25 - 30.07
30.04 - 29.69
29.69 - 29.48
29.79 - 29.5
29.89 - 29.8
29.97 - 29.86
30.06 - 29.96
30.04 - 29.94
30.11 - 29.99
Max Avg Min
- 0.04 -
- 0.20 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.24 -
- 0.54 -
- 0.12 -
- 0.07 -
- 0.00 -
- 0.21 -
- 0.02 -
- 0.26 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.48 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.14 -
- 0.00 -
- 0.00 -
