Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
26 20 12
12 10 8
12 4 -5
3 -1 -5
6 -2 -9
10 4 -2
10 5 0
12 5 -2
18 10 3
14 7 0
27 18 8
30 27 24
27 23 19
21 16 8
15 9 3
19 7 -4
27 22 17
24 20 16
43 30 16
46 38 30
46 35 24
39 34 28
30 29 28
32 29 26
39 34 30
32 31 30
32 30 28
36 32 28
Max Avg Min
18 14 5
3 0 -8
2 -7 -16
-12 -14 -18
-13 -16 -21
7 -2 -14
-1 -5 -10
-2 -8 -14
0 -4 -8
-1 -4 -8
19 10 -4
28 24 19
22 18 16
16 9 0
1 -2 -5
15 0 -9
19 15 9
8 4 -6
30 22 7
31 30 28
36 30 24
34 24 19
21 19 14
30 19 10
39 33 27
32 29 26
27 25 23
28 26 23
Max Avg Min
86 - 59
76 - 46
70 - 41
69 - 43
62 - 37
85 - 52
76 - 47
63 - 52
61 - 41
69 - 49
74 - 58
96 - 74
93 - 80
86 - 54
70 - 51
85 - 54
93 - 53
71 - 28
78 - 51
93 - 52
100 - 63
81 - 52
75 - 51
93 - 43
100 - 82
100 - 85
93 - 69
80 - 67
Max Avg Min
16 - 9
21 - 7
29 - 8
21 - 10
16 - 7
10 - 0
15 - 8
16 - 8
15 - 6
14 - 8
14 - 0
22 - 0
30 - 15
20 - 6
15 - 9
21 - 9
16 - 0
16 - 0
21 - 7
9 - 0
15 - 0
24 - 6
17 - 5
23 - 14
24 - 7
17 - 10
12 - 0
24 - 0
Max Avg Min
29.88 - 29.73
29.97 - 29.78
30.32 - 29.79
30.53 - 30.28
30.67 - 30.56
30.55 - 30.09
30.4 - 30.27
30.43 - 30.25
30.4 - 30.28
30.38 - 30.28
30.29 - 30.15
30.26 - 30.14
30.23 - 30.05
30.33 - 30.12
30.33 - 30.22
30.21 - 29.82
30.07 - 29.7
30.22 - 30.07
30.09 - 29.59
29.83 - 29.65
29.93 - 29.79
30.36 - 29.78
30.46 - 30.29
30.29 - 29.65
29.62 - 29.35
29.88 - 29.55
30.15 - 29.88
30.17 - 29.8
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.07 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.44 -
- 0.40 -
- 0.00 -
- 0.00 -
- 0.00 -
