Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
86 75 66
81 74 68
77 70 64
72 66 59
63 58 52
73 60 48
91 82 72
81 72 63
79 68 57
81 71 61
84 75 66
82 74 66
86 76 66
89 78 68
89 78 68
91 80 70
91 80 71
89 82 75
81 74 66
84 73 62
80 74 68
75 68 63
68 64 61
75 70 64
86 76 68
91 80 73
89 80 71
73 68 62
71 63 55
77 68 60
Max Avg Min
67 63 60
66 63 59
66 61 54
61 58 48
52 47 41
55 46 37
65 62 56
67 56 45
53 48 44
54 50 48
54 51 49
55 51 44
57 53 50
58 54 49
61 56 53
65 60 56
68 65 63
69 65 61
70 61 45
55 49 44
62 52 36
56 49 41
63 60 53
65 62 59
69 67 64
72 70 66
73 69 64
68 57 50
59 55 49
57 50 39
Max Avg Min
90 - 43
90 - 50
96 - 50
90 - 61
94 - 60
83 - 34
66 - 36
69 - 39
75 - 30
75 - 31
63 - 31
66 - 31
68 - 30
61 - 27
73 - 31
69 - 34
81 - 43
79 - 41
100 - 31
65 - 28
63 - 29
75 - 34
100 - 59
88 - 69
90 - 55
90 - 53
87 - 55
90 - 51
83 - 63
87 - 28
Max Avg Min
16 - 0
17 - 0
17 - 0
21 - 5
15 - 0
15 - 0
26 - 14
21 - 0
10 - 0
13 - 0
13 - 0
16 - 5
16 - 4
15 - 0
14 - 0
15 - 0
21 - 0
22 - 6
20 - 5
13 - 0
15 - 6
15 - 0
13 - 0
9 - 0
13 - 0
22 - 4
31 - 5
20 - 5
14 - 4
13 - 0
Max Avg Min
29.99 - 29.82
29.86 - 29.67
29.66 - 29.47
29.65 - 29.44
29.91 - 29.64
29.94 - 29.66
29.63 - 29.47
30.08 - 29.55
30.15 - 30.01
30.07 - 30
30.14 - 30.05
30.19 - 30.1
30.13 - 30.04
30.05 - 29.96
30.01 - 29.94
29.99 - 29.94
29.99 - 29.88
29.9 - 29.76
30.08 - 29.78
30.17 - 30.05
30.09 - 30.04
30.12 - 29.97
29.99 - 29.92
30.05 - 29.9
30.12 - 30.01
30.14 - 30.06
30.07 - 29.94
30.14 - 29.97
30.15 - 30.09
30.14 - 30.09
Max Avg Min
- 0.21 -
- 0.00 -
- 0.32 -
- 0.28 -
- 0.27 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.02 -
- 0.93 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.34 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.20 -
- 0.00 -
- 0.00 -
- 0.00 -
