Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
30 27 24
30 27 24
32 29 26
43 38 32
42 38 33
35 30 26
27 26 26
37 32 26
36 28 17
15 6 -2
15 6 -2
21 18 15
21 15 9
36 27 18
25 20 12
35 22 10
51 40 30
33 20 7
16 10 3
19 12 6
23 16 10
28 24 21
34 28 21
37 28 19
34 32 30
35 28 21
24 20 16
25 18 10
37 30 24
Max Avg Min
27 23 19
26 23 20
29 26 23
43 35 28
43 35 30
34 31 24
25 22 19
34 28 24
34 25 7
-1 -13 -17
9 -1 -15
18 14 7
10 7 4
29 22 13
19 6 -2
31 11 0
45 38 25
28 11 -1
6 1 -2
9 2 -3
16 9 0
20 18 15
19 17 14
27 22 18
32 31 28
31 23 10
11 8 6
20 10 5
32 27 18
Max Avg Min
93 - 75
86 - 78
96 - 81
100 - 87
100 - 81
100 - 82
93 - 74
93 - 70
93 - 65
60 - 47
85 - 46
86 - 70
84 - 58
82 - 70
78 - 38
85 - 41
100 - 75
85 - 62
78 - 56
85 - 38
86 - 44
81 - 61
81 - 48
92 - 56
100 - 85
96 - 55
77 - 48
93 - 46
100 - 59
Max Avg Min
21 - 4
13 - 0
15 - 0
15 - 0
23 - 0
32 - 8
13 - 0
17 - 4
22 - 7
29 - 9
13 - 0
16 - 4
12 - 4
18 - 5
15 - 4
12 - 0
29 - 5
26 - 10
18 - 6
16 - 6
15 - 0
12 - 0
10 - 0
10 - 0
12 - 0
25 - 7
16 - 5
12 - 0
28 - 7
Max Avg Min
30.14 - 29.82
30.17 - 29.99
30.28 - 29.99
30.03 - 29.69
29.97 - 29.68
29.83 - 29.35
30.01 - 29.84
29.9 - 29.7
30.05 - 29.67
30.57 - 30.08
30.58 - 30.27
30.27 - 29.87
30.08 - 29.98
30.09 - 29.87
30.46 - 30.1
30.4 - 29.83
29.78 - 29.04
29.98 - 29.54
30.14 - 29.91
30.51 - 30.03
30.49 - 30.01
30.06 - 29.97
30.25 - 30.06
30.22 - 29.98
30 - 29.75
30.04 - 29.68
30.13 - 30.03
30.28 - 30.11
30.11 - 29.9
Max Avg Min
- 0.06 -
- 0.00 -
- 0.16 -
- 0.08 -
- 0.19 -
- 0.41 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.77 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.29 -
- 0.06 -
- 0.00 -
- 0.01 -
- 0.05 -
