Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
89 80 73
80 75 69
84 74 63
88 78 69
88 78 71
84 75 66
81 72 64
78 70 64
78 70 63
73 68 62
75 68 60
77 70 64
77 70 66
78 72 66
78 70 63
82 71 60
84 74 64
84 74 66
84 75 66
81 73 66
82 75 69
84 78 75
90 81 70
78 70 64
73 70 66
75 68 62
82 72 61
81 73 66
84 77 69
87 75 63
89 77 66
Max Avg Min
72 69 64
70 60 54
64 60 57
73 69 64
72 70 65
65 61 54
61 56 51
61 55 48
64 58 50
57 53 47
59 57 55
59 57 55
62 59 55
64 60 55
60 55 49
57 53 50
62 59 55
62 58 54
67 64 58
68 60 52
67 59 50
72 69 67
73 69 60
59 57 55
59 55 49
62 55 48
63 56 46
70 65 61
70 62 53
60 55 48
61 56 50
Max Avg Min
94 - 57
84 - 43
87 - 41
100 - 63
94 - 60
84 - 35
81 - 36
84 - 36
73 - 59
73 - 39
86 - 51
80 - 47
76 - 55
87 - 44
90 - 39
84 - 33
75 - 44
84 - 38
84 - 54
84 - 45
71 - 49
90 - 63
87 - 52
75 - 48
73 - 44
78 - 51
78 - 28
84 - 58
91 - 34
87 - 28
76 - 27
Max Avg Min
10 - 0
15 - 4
12 - 0
37 - 0
15 - 0
15 - 0
16 - 5
12 - 0
16 - 4
15 - 5
12 - 0
10 - 0
10 - 0
15 - 0
14 - 4
13 - 0
14 - 5
13 - 4
12 - 0
12 - 4
14 - 4
21 - 7
17 - 4
16 - 4
17 - 10
14 - 5
10 - 0
12 - 4
12 - 0
9 - 0
12 - 0
Max Avg Min
29.82 - 29.73
29.97 - 29.81
30.01 - 29.9
30.02 - 29.82
29.97 - 29.84
30.04 - 29.95
29.98 - 29.94
30.05 - 29.95
29.95 - 29.84
30.03 - 29.94
30.06 - 29.96
29.96 - 29.82
29.86 - 29.79
30.01 - 29.82
30.18 - 30.01
30.19 - 30.05
30.06 - 29.94
29.99 - 29.94
30.09 - 29.99
30.15 - 30.07
30.07 - 29.97
30.07 - 29.99
30.05 - 29.95
30.07 - 30
30.1 - 30.03
30.07 - 29.95
29.96 - 29.86
29.86 - 29.76
30.01 - 29.79
30.12 - 30.02
30.17 - 30.06
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.58 -
- 0.06 -
- 0.01 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
