Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
62 53 46
62 52 43
59 55 51
60 50 42
61 54 46
70 62 55
64 60 57
63 58 52
69 58 48
73 60 46
80 68 55
86 74 63
79 72 64
70 62 55
64 57 51
59 52 44
55 50 45
60 53 46
62 53 44
55 50 46
55 46 39
54 47 41
60 49 39
55 50 44
53 48 42
55 46 36
46 40 35
45 38 32
51 42 34
63 48 35
71 60 50
Max Avg Min
44 41 36
43 40 38
48 44 41
41 38 36
48 41 35
49 46 44
62 53 45
63 55 45
46 38 29
53 41 28
58 49 37
58 55 50
62 57 48
63 47 31
59 51 45
41 38 36
42 40 34
45 42 38
39 37 35
52 44 37
40 37 32
35 29 25
45 32 23
48 45 42
44 41 39
43 34 22
33 28 24
26 23 20
32 25 21
37 31 26
51 45 37
Max Avg Min
83 - 46
82 - 44
88 - 53
85 - 47
74 - 38
67 - 45
100 - 58
100 - 67
83 - 23
83 - 26
75 - 40
81 - 31
70 - 46
94 - 31
94 - 55
83 - 42
83 - 50
93 - 46
76 - 38
100 - 57
86 - 50
71 - 34
77 - 39
94 - 62
100 - 59
86 - 29
79 - 46
79 - 38
76 - 31
82 - 32
81 - 51
Max Avg Min
16 - 5
16 - 6
12 - 4
10 - 0
14 - 0
16 - 4
16 - 7
15 - 4
12 - 0
12 - 0
9 - 0
13 - 0
15 - 5
21 - 0
15 - 0
15 - 4
14 - 4
12 - 0
17 - 5
14 - 5
15 - 5
20 - 5
16 - 0
14 - 0
20 - 7
31 - 12
21 - 8
15 - 7
10 - 4
15 - 4
14 - 4
Max Avg Min
30.01 - 29.9
30 - 29.85
30.17 - 29.86
30.28 - 30.17
30.3 - 30.19
30.27 - 30.2
30.22 - 29.79
29.94 - 29.74
30.14 - 29.94
30.23 - 30.14
30.28 - 30.2
30.32 - 30.22
30.27 - 30.14
30.29 - 30.13
30.14 - 29.96
30.29 - 30.14
30.3 - 30.23
30.35 - 30.25
30.34 - 30.17
30.29 - 30.16
30.43 - 30.3
30.49 - 30.35
30.38 - 30.16
30.12 - 29.82
29.87 - 29.67
30 - 29.65
30.38 - 30.01
30.42 - 30.19
30.31 - 30.12
30.41 - 30.3
30.34 - 30.26
Max Avg Min
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.85 -
- 0.30 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.24 -
- 0.00 -
- 0.00 -
- 0.14 -
- 0.00 -
- 0.31 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.63 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
