Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
54 46 37
55 46 39
50 42 37
48 40 33
43 37 33
39 36 33
48 39 30
54 42 32
57 46 35
46 42 39
46 41 36
53 42 33
46 42 37
44 40 37
57 49 41
61 49 37
70 54 39
73 60 46
62 55 46
54 48 42
44 40 37
62 50 39
66 52 39
84 70 55
77 58 42
81 62 42
73 66 60
51 48 42
55 50 46
69 60 55
Max Avg Min
33 29 26
37 34 29
37 32 27
28 24 21
33 30 26
30 27 22
25 16 11
26 23 19
24 22 19
29 27 22
31 23 13
31 27 22
40 34 21
39 35 30
32 28 22
35 29 19
33 31 27
52 41 33
55 50 46
44 39 34
43 36 32
35 31 25
49 36 30
56 53 49
63 53 38
58 50 41
62 57 51
52 40 35
51 47 43
64 57 53
Max Avg Min
73 - 34
83 - 48
93 - 44
75 - 36
96 - 55
87 - 57
72 - 22
73 - 28
61 - 25
65 - 42
76 - 28
75 - 36
100 - 37
100 - 60
70 - 26
73 - 26
68 - 24
70 - 33
100 - 70
97 - 55
100 - 65
82 - 24
77 - 32
88 - 37
93 - 60
100 - 38
100 - 48
94 - 63
90 - 77
100 - 77
Max Avg Min
24 - 5
23 - 0
23 - 0
14 - 0
23 - 10
24 - 5
22 - 6
15 - 0
13 - 0
24 - 10
16 - 0
15 - 0
24 - 10
21 - 7
15 - 5
13 - 0
10 - 0
12 - 0
13 - 0
21 - 9
20 - 8
24 - 4
18 - 4
23 - 0
25 - 0
28 - 0
24 - 4
22 - 6
12 - 5
16 - 4
Max Avg Min
29.85 - 29.62
29.85 - 29.49
29.93 - 29.45
30.11 - 29.95
30 - 29.69
29.91 - 29.72
29.88 - 29.75
29.78 - 29.7
29.93 - 29.8
30.15 - 29.9
30.38 - 30.17
30.42 - 30.13
30.13 - 29.76
30.06 - 29.76
30.32 - 30.07
30.45 - 30.34
30.45 - 30.2
30.19 - 29.96
29.95 - 29.69
29.67 - 29.59
29.8 - 29.56
30.05 - 29.78
30.13 - 29.83
29.86 - 29.73
30.13 - 29.84
30.13 - 29.94
30.14 - 29.9
30.42 - 30.14
30.38 - 30.14
30.11 - 29.71
Max Avg Min
- 0.00 -
- 0.08 -
- 0.15 -
- 0.00 -
- 0.34 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.48 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.85 -
- 0.15 -
- 0.11 -
- 0.00 -
- 0.16 -
- 0.04 -
- 0.09 -
- 0.30 -
- 0.92 -
- 0.09 -
- 0.04 -
- 0.42 -
