Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
32 30 27
32 26 20
35 26 16
34 28 22
33 31 29
35 32 28
41 36 30
40 33 26
48 40 32
55 49 42
49 41 33
37 32 27
34 29 23
37 30 23
43 37 31
36 34 31
36 32 28
36 29 22
34 26 18
26 21 15
35 25 15
41 30 19
41 33 25
37 35 32
39 36 32
43 37 31
43 37 30
51 39 27
54 43 32
59 46 32
60 49 37
Max Avg Min
23 22 20
21 17 12
16 11 8
25 19 14
29 28 26
27 25 23
26 23 19
25 23 21
32 28 21
48 43 31
46 37 28
28 24 18
19 13 5
29 21 13
37 31 28
34 27 20
22 19 15
32 25 11
14 11 7
11 5 2
14 8 3
20 14 9
25 21 19
29 25 22
27 24 21
25 22 19
24 20 18
21 19 16
28 20 16
38 30 21
45 36 22
Max Avg Min
81 - 65
81 - 43
74 - 19
80 - 46
93 - 75
86 - 63
79 - 45
86 - 35
81 - 48
93 - 54
97 - 81
86 - 48
72 - 20
85 - 41
93 - 65
93 - 58
67 - 41
93 - 47
65 - 29
62 - 29
60 - 21
71 - 22
81 - 35
85 - 50
75 - 47
72 - 28
67 - 26
69 - 16
68 - 15
75 - 25
93 - 25
Max Avg Min
22 - 9
20 - 6
13 - 0
14 - 0
20 - 6
22 - 7
10 - 0
12 - 0
18 - 6
24 - 0
22 - 5
24 - 10
26 - 4
14 - 0
16 - 0
21 - 0
22 - 8
30 - 4
30 - 14
22 - 9
16 - 6
12 - 0
17 - 0
30 - 9
29 - 10
16 - 0
13 - 4
15 - 0
14 - 0
21 - 0
28 - 6
Max Avg Min
30.2 - 30.07
30.22 - 30.14
30.19 - 30.07
30.16 - 30.03
29.99 - 29.8
30.33 - 30.01
30.45 - 30.33
30.53 - 30.35
30.33 - 29.86
29.9 - 29.63
29.81 - 29.56
30.05 - 29.8
30.37 - 30.03
30.37 - 30.12
30.11 - 29.77
30.15 - 29.72
30.24 - 30.04
30.02 - 29.61
30.12 - 29.82
30.14 - 30.02
30.09 - 30.02
30.11 - 30.03
30.17 - 30.04
30.04 - 29.68
30.1 - 29.69
30.28 - 30.09
30.35 - 30.28
30.37 - 30.3
30.35 - 30.25
30.27 - 29.86
29.9 - 29.72
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 1.00 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
