Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
75 68 61
68 65 62
74 68 62
83 72 61
87 75 63
82 77 71
89 80 70
87 79 71
85 80 75
87 77 66
80 72 63
82 71 60
83 75 67
88 81 73
91 83 75
93 85 77
95 86 77
96 88 79
97 86 75
88 80 72
89 81 72
90 81 72
80 73 65
73 68 62
81 70 58
74 70 65
68 63 57
71 63 55
76 67 58
74 68 61
75 70 64
Max Avg Min
54 50 47
58 53 49
64 60 57
61 59 57
64 59 55
65 63 62
69 66 64
73 69 66
75 72 69
74 65 55
60 52 42
61 53 50
63 58 54
67 66 65
74 71 67
72 71 69
72 69 67
73 71 68
73 69 64
70 64 58
67 63 58
67 64 59
63 59 53
52 48 46
55 51 48
64 58 53
57 51 43
49 46 43
57 53 49
60 56 51
65 63 58
Max Avg Min
72 - 30
86 - 45
87 - 68
90 - 39
81 - 27
78 - 46
84 - 38
94 - 50
87 - 65
88 - 47
80 - 23
78 - 27
75 - 35
76 - 40
84 - 46
82 - 39
76 - 34
79 - 32
83 - 29
88 - 30
79 - 30
79 - 29
78 - 43
63 - 31
78 - 27
84 - 49
83 - 47
80 - 27
78 - 42
78 - 45
94 - 65
Max Avg Min
26 - 7
18 - 6
12 - 0
17 - 4
14 - 0
12 - 0
15 - 6
22 - 0
25 - 4
17 - 4
17 - 0
14 - 0
16 - 0
16 - 0
16 - 0
14 - 4
17 - 4
22 - 4
30 - 6
15 - 0
23 - 0
28 - 0
23 - 6
20 - 0
13 - 0
20 - 7
20 - 6
20 - 6
14 - 4
13 - 0
21 - 0
Max Avg Min
30.04 - 29.96
30.08 - 30.02
30.07 - 30.01
30.09 - 30.03
30.08 - 29.99
30.05 - 29.96
30 - 29.93
30.04 - 29.9
29.97 - 29.83
30.02 - 29.81
30.09 - 29.99
30.13 - 30.07
30.14 - 30.09
30.19 - 30.12
30.23 - 30.19
30.29 - 30.21
30.29 - 30.14
30.14 - 29.93
29.92 - 29.73
29.96 - 29.77
29.94 - 29.82
29.85 - 29.71
29.96 - 29.66
30.05 - 29.95
30.09 - 30.02
30.01 - 29.87
29.91 - 29.85
30.02 - 29.88
30.17 - 30.02
30.17 - 30.06
30.06 - 29.94
Max Avg Min
- 0.00 -
- 0.00 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.84 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.18 -
