Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
44 39 33
53 41 29
64 55 45
61 53 45
63 51 39
52 46 40
45 41 37
49 44 39
53 45 36
65 55 44
61 47 33
33 30 27
31 29 26
29 27 24
33 27 21
33 29 25
25 19 13
21 17 12
33 26 19
30 24 17
36 25 13
54 44 34
54 52 50
51 39 27
30 26 22
32 27 22
30 25 19
36 28 20
54 44 33
56 43 29
Max Avg Min
31 28 25
31 26 20
44 34 25
52 43 37
40 37 33
44 34 25
32 27 25
39 31 24
36 30 25
43 40 36
46 35 21
21 16 12
18 16 14
17 14 12
21 15 12
27 23 17
14 6 1
8 5 3
18 13 6
13 7 2
13 6 1
47 39 15
51 47 42
50 34 20
21 17 16
24 20 17
22 17 9
29 19 9
49 39 27
50 39 17
Max Avg Min
85 - 38
89 - 16
53 - 23
87 - 36
86 - 26
80 - 43
63 - 34
80 - 33
67 - 34
74 - 33
89 - 47
64 - 35
69 - 42
69 - 39
78 - 31
82 - 54
74 - 37
73 - 35
66 - 34
71 - 19
68 - 12
93 - 41
97 - 66
96 - 65
81 - 61
85 - 55
78 - 51
76 - 49
89 - 63
93 - 61
Max Avg Min
24 - 0
20 - 0
25 - 10
23 - 10
20 - 5
29 - 9
16 - 4
24 - 6
25 - 5
26 - 4
24 - 8
20 - 10
18 - 7
14 - 4
14 - 0
18 - 5
30 - 9
26 - 8
26 - 10
25 - 7
16 - 0
21 - 8
17 - 4
32 - 5
22 - 6
14 - 0
20 - 0
18 - 0
23 - 6
22 - 8
Max Avg Min
30.47 - 30.35
30.46 - 30.2
30.19 - 29.94
30.1 - 29.89
30.17 - 29.85
30.23 - 29.77
30.23 - 29.83
29.98 - 29.74
29.97 - 29.77
29.83 - 29.53
30.17 - 29.57
30.34 - 30.18
30.35 - 30.3
30.41 - 30.31
30.43 - 30.24
30.22 - 29.91
30.04 - 29.88
30.2 - 29.98
30.1 - 29.81
30.38 - 30.05
30.53 - 30.2
30.18 - 29.86
29.86 - 29.09
29.87 - 29.08
30.25 - 29.89
30.23 - 30.15
30.45 - 30.23
30.43 - 29.93
29.9 - 29.61
30.32 - 29.64
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.23 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.62 -
- 0.35 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
