Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
87 80 72
92 83 74
88 81 73
93 83 72
92 82 71
72 70 68
70 68 66
69 66 63
70 66 61
74 68 61
80 69 57
82 70 57
79 68 56
85 74 62
82 73 63
86 77 67
92 81 69
82 76 69
79 73 67
95 82 68
83 71 58
64 60 56
70 62 53
72 65 58
84 74 63
68 60 51
69 59 48
62 55 47
60 51 42
68 61 54
Max Avg Min
73 70 68
71 68 65
72 70 68
71 68 65
73 69 67
66 63 56
65 60 50
55 52 45
54 51 48
59 56 53
60 57 54
58 55 47
60 57 55
62 60 58
64 62 59
69 66 62
67 64 62
67 64 61
65 62 60
72 68 65
68 56 41
49 45 39
57 51 46
66 60 51
68 65 57
57 44 41
45 42 38
48 45 41
47 38 32
57 52 45
Max Avg Min
87 - 55
76 - 37
93 - 61
91 - 35
93 - 44
90 - 62
87 - 53
68 - 41
72 - 44
84 - 45
93 - 36
96 - 23
93 - 41
93 - 37
93 - 49
97 - 43
84 - 32
87 - 58
87 - 54
90 - 35
76 - 35
69 - 43
80 - 44
87 - 62
93 - 39
80 - 26
80 - 25
83 - 49
83 - 30
83 - 58
Max Avg Min
21 - 5
22 - 0
23 - 4
16 - 4
22 - 7
21 - 7
21 - 8
26 - 14
25 - 10
15 - 0
13 - 0
13 - 0
14 - 0
15 - 0
14 - 0
15 - 4
14 - 0
18 - 0
16 - 6
22 - 0
28 - 9
23 - 4
13 - 0
15 - 5
35 - 4
20 - 4
15 - 0
18 - 4
15 - 0
16 - 4
Max Avg Min
30.04 - 29.92
30.09 - 29.97
30.2 - 30.08
30.17 - 30.04
30.21 - 30.01
30.3 - 30.17
30.23 - 30.18
30.2 - 30.08
30.09 - 29.99
30.08 - 29.96
30.16 - 30.09
30.19 - 30.12
30.21 - 30.11
30.15 - 30.09
30.18 - 30.11
30.11 - 29.96
29.94 - 29.84
30 - 29.88
30.04 - 29.94
29.98 - 29.76
30.25 - 29.72
30.33 - 30.19
30.19 - 30.09
30.11 - 29.9
29.91 - 29.74
30.13 - 29.91
30.12 - 29.92
30.28 - 29.96
30.38 - 30.24
30.23 - 30.13
Max Avg Min
- 0.04 -
- 0.00 -
- 0.45 -
- 0.00 -
- 0.39 -
- 0.40 -
- 0.20 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.71 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.02 -
- 0.01 -
