Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
64 56 48
55 52 50
55 52 48
55 50 46
57 52 46
62 56 51
68 60 52
73 60 48
81 65 50
82 74 66
87 78 68
86 74 63
91 80 68
91 80 69
77 70 64
86 70 55
87 71 55
91 78 64
84 74 66
75 70 64
69 64 59
69 60 52
73 62 51
81 66 51
84 72 59
86 74 63
87 75 63
86 74 63
87 76 66
88 78 69
Max Avg Min
54 49 47
54 48 44
47 45 42
45 44 43
55 51 44
58 54 52
56 53 50
55 51 45
59 55 50
68 61 58
69 66 61
68 65 62
72 69 68
72 68 64
69 62 56
63 57 54
64 56 51
65 62 56
67 62 55
58 53 48
61 55 49
58 54 51
55 53 50
58 55 52
62 59 57
60 58 56
64 61 57
66 63 60
65 64 63
67 65 62
Max Avg Min
100 - 56
96 - 67
87 - 72
93 - 69
100 - 86
100 - 84
97 - 63
100 - 47
100 - 43
76 - 47
90 - 48
100 - 49
100 - 52
93 - 48
96 - 51
93 - 43
96 - 32
100 - 30
68 - 47
75 - 44
96 - 53
100 - 66
100 - 46
100 - 39
93 - 41
87 - 36
90 - 38
97 - 41
87 - 46
87 - 43
Max Avg Min
14 - 4
21 - 4
14 - 0
15 - 5
20 - 0
9 - 4
9 - 0
10 - 0
9 - 0
20 - 5
28 - 0
32 - 0
18 - 0
25 - 6
16 - 0
16 - 0
17 - 0
21 - 0
18 - 5
10 - 0
12 - 0
13 - 0
12 - 0
12 - 0
12 - 0
13 - 0
10 - 0
10 - 0
13 - 4
17 - 4
Max Avg Min
29.68 - 29.48
29.73 - 29.45
30.01 - 29.74
30.14 - 29.98
30.13 - 29.99
30.08 - 30.01
30.09 - 30.04
30.1 - 30.02
30.05 - 29.9
29.9 - 29.72
29.82 - 29.71
29.95 - 29.77
29.83 - 29.77
29.9 - 29.77
30.01 - 29.76
30.12 - 30.01
30.19 - 30.06
30.15 - 29.91
30.17 - 29.94
30.24 - 30.16
30.16 - 29.98
30.07 - 29.99
30.13 - 30.06
30.22 - 30.12
30.25 - 30.16
30.27 - 30.19
30.31 - 30.2
30.25 - 30.1
30.11 - 29.96
29.99 - 29.88
Max Avg Min
- 0.52 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.63 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.51 -
- 0.00 -
- 0.31 -
- 0.04 -
- 0.00 -
- 0.05 -
- 0.35 -
- 0.02 -
- 0.00 -
- 0.17 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
