Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
34 33 32
39 36 33
45 38 32
32 21 10
27 18 8
32 24 15
16 12 8
30 20 10
26 14 3
27 18 9
32 19 6
21 12 3
32 22 12
35 25 15
28 24 19
27 22 18
32 26 21
37 30 24
41 32 24
50 39 28
48 37 26
33 27 19
26 19 12
21 14 6
17 8 0
28 17 6
30 20 10
39 26 14
Max Avg Min
34 30 26
36 34 33
45 37 27
27 13 -1
12 4 -1
19 14 4
5 2 -4
20 10 -3
11 0 -5
22 12 -3
28 9 -8
5 0 -7
14 7 0
27 20 11
18 15 10
19 13 9
25 22 18
31 27 23
31 19 13
29 24 21
31 25 17
32 25 10
13 7 1
18 12 -3
4 -4 -11
14 9 5
20 13 7
21 15 10
Max Avg Min
100 - 78
100 - 86
100 - 80
85 - 56
76 - 44
75 - 42
84 - 49
78 - 51
73 - 30
88 - 43
93 - 49
70 - 42
84 - 40
93 - 56
77 - 63
81 - 53
96 - 64
100 - 76
89 - 41
81 - 35
96 - 28
96 - 65
70 - 34
93 - 61
72 - 39
95 - 45
92 - 43
92 - 33
Max Avg Min
10 - 4
17 - 4
21 - 0
25 - 12
13 - 6
14 - 8
17 - 7
21 - 8
14 - 5
20 - 0
36 - 5
21 - 10
14 - 0
22 - 0
25 - 17
23 - 14
15 - 4
15 - 7
12 - 5
17 - 6
10 - 0
29 - 0
18 - 0
20 - 5
10 - 0
10 - 0
10 - 0
10 - 0
Max Avg Min
29.99 - 29.84
29.88 - 29.7
29.65 - 29.27
30.2 - 29.44
30.31 - 30.19
30.26 - 30.15
30.27 - 30.14
30.12 - 29.9
30.18 - 29.84
30.07 - 29.68
30.01 - 29.54
30.21 - 30.03
30.22 - 30.15
30.14 - 30.01
30.47 - 30.1
30.45 - 30.23
30.23 - 30.02
30.06 - 29.98
30.29 - 30.06
30.3 - 30.07
30.05 - 29.77
29.75 - 29.58
30.13 - 29.76
30.52 - 30.06
30.61 - 30.34
30.35 - 30.12
30.14 - 30.08
30.17 - 30.1
Max Avg Min
- 0.00 -
- 0.03 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
