Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
32 28 25
37 32 26
36 30 23
42 36 30
46 36 26
50 44 39
50 46 41
41 39 37
50 44 37
44 40 37
37 34 32
42 36 30
30 24 19
27 21 15
37 28 18
43 36 28
33 26 19
37 29 18
14 8 3
28 19 10
33 24 14
12 10 8
18 12 5
12 5 -2
19 14 10
24 18 12
26 19 12
41 32 24
39 33 27
55 44 33
55 42 30
Max Avg Min
30 25 21
30 25 22
31 22 14
34 30 28
40 35 24
48 44 37
48 44 34
37 34 32
45 40 35
43 40 34
34 27 24
34 28 20
21 13 8
12 9 8
21 15 11
25 20 12
22 16 12
32 25 6
3 -6 -10
11 4 -3
25 15 4
3 -2 -4
0 -2 -6
-3 -9 -12
16 7 -2
16 12 6
14 12 9
30 23 14
34 29 25
51 39 30
52 37 18
Max Avg Min
93 - 75
92 - 59
85 - 48
92 - 65
96 - 73
100 - 87
100 - 76
93 - 73
93 - 71
100 - 81
87 - 70
87 - 51
72 - 53
73 - 45
78 - 38
64 - 49
75 - 43
93 - 60
70 - 42
58 - 38
81 - 45
67 - 51
67 - 43
69 - 38
88 - 56
88 - 63
92 - 58
82 - 55
93 - 68
100 - 77
88 - 39
Max Avg Min
18 - 5
17 - 0
13 - 5
20 - 0
18 - 0
16 - 0
18 - 5
13 - 0
14 - 4
18 - 0
18 - 5
31 - 9
26 - 13
18 - 6
22 - 5
20 - 8
9 - 0
22 - 7
25 - 5
28 - 6
22 - 8
17 - 7
21 - 10
14 - 5
14 - 0
12 - 0
16 - 0
13 - 0
8 - 0
25 - 0
18 - 5
Max Avg Min
30.16 - 29.78
30.14 - 29.92
30.1 - 29.86
30.01 - 29.73
30.14 - 29.89
29.85 - 29.73
29.99 - 29.35
30.16 - 29.91
29.94 - 29.6
29.78 - 29.57
29.88 - 29.76
29.78 - 29.45
30.42 - 29.69
30.6 - 30.44
30.48 - 30.19
30.3 - 30.05
30.38 - 30.02
30.11 - 29.77
30.4 - 30.15
30.24 - 29.61
30.12 - 29.6
30.32 - 30.12
30.41 - 30.13
30.41 - 30.2
30.17 - 30.06
30.59 - 30.17
30.68 - 30.38
30.37 - 30.02
30.24 - 30.08
30.18 - 29.76
30.32 - 29.78
Max Avg Min
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.16 -
- 0.82 -
- 0.00 -
- 0.00 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
