Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
84 72 61
82 71 61
82 72 64
82 76 69
73 68 62
82 72 62
69 65 57
75 64 54
75 67 61
82 72 62
87 73 62
87 78 69
87 76 69
81 72 64
84 72 61
82 73 64
75 70 64
79 70 62
82 70 60
89 80 70
84 78 73
90 80 70
73 68 59
71 62 55
73 67 62
73 66 60
81 70 60
84 68 55
82 72 62
72 68 64
84 72 63
Max Avg Min
62 57 54
60 58 55
73 66 28
70 67 64
66 61 57
68 64 61
66 58 55
56 52 50
63 58 55
67 63 59
72 67 59
69 67 65
74 67 56
61 58 55
62 56 48
66 63 59
63 61 58
63 59 56
63 60 57
72 67 63
76 73 70
75 69 42
60 51 46
58 51 47
57 53 47
59 54 49
56 53 49
59 56 51
61 60 58
65 63 61
66 61 51
Max Avg Min
87 - 37
84 - 48
100 - 21
94 - 56
90 - 68
96 - 54
93 - 65
90 - 43
96 - 55
100 - 60
91 - 63
93 - 53
94 - 45
84 - 45
90 - 28
93 - 50
94 - 59
94 - 48
90 - 47
85 - 52
94 - 67
93 - 35
81 - 41
89 - 44
84 - 42
81 - 46
83 - 40
90 - 39
90 - 49
93 - 68
100 - 33
Max Avg Min
13 - 0
13 - 0
38 - 0
18 - 0
15 - 5
20 - 4
16 - 6
14 - 5
23 - 4
12 - 0
10 - 0
13 - 4
23 - 0
17 - 0
14 - 0
16 - 0
17 - 7
12 - 0
14 - 4
12 - 4
14 - 4
16 - 6
17 - 0
14 - 0
15 - 5
13 - 4
10 - 0
13 - 0
14 - 4
10 - 0
12 - 0
Max Avg Min
30.1 - 30.03
30.09 - 29.96
29.94 - 29.61
29.77 - 29.57
30.03 - 29.78
29.95 - 29.76
29.88 - 29.76
30.02 - 29.87
30.13 - 30.03
30.16 - 30.06
30.1 - 29.87
29.94 - 29.88
29.92 - 29.67
29.88 - 29.78
29.93 - 29.84
29.87 - 29.78
29.98 - 29.85
30.01 - 29.91
29.92 - 29.82
29.88 - 29.83
29.89 - 29.74
29.99 - 29.78
30.24 - 30
30.36 - 30.25
30.34 - 30.22
30.21 - 30.11
30.1 - 30.03
30.07 - 29.98
30.01 - 29.92
29.93 - 29.83
30.01 - 29.83
Max Avg Min
- 0.00 -
- 0.00 -
- 1.32 -
- 0.01 -
- 0.01 -
- 0.03 -
- 0.02 -
- 0.00 -
- 0.77 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
