Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
45 36 26
42 41 40
42 41 39
43 40 36
37 34 31
31 30 28
39 34 28
45 39 32
38 36 33
38 29 20
42 40 37
57 48 38
49 41 32
37 33 28
45 36 27
47 39 30
43 35 27
35 28 20
55 41 27
46 39 32
34 26 18
36 30 24
30 27 23
40 35 29
35 30 25
43 30 17
51 43 35
49 43 36
50 45 39
39 36 32
38 34 30
Max Avg Min
39 32 25
40 39 37
40 38 37
41 37 31
32 26 19
24 20 16
29 26 24
35 31 25
33 27 21
35 27 18
39 36 35
44 37 34
45 33 20
24 20 18
26 24 22
37 31 25
38 29 15
26 16 10
45 34 25
35 30 28
30 24 19
30 26 23
27 22 19
31 28 23
21 20 18
25 21 15
31 27 24
46 39 29
47 42 32
32 29 25
29 25 22
Max Avg Min
93 - 62
100 - 89
100 - 86
96 - 76
96 - 61
81 - 58
85 - 59
85 - 62
85 - 61
92 - 61
100 - 76
85 - 51
100 - 59
78 - 47
81 - 45
78 - 58
92 - 63
69 - 54
85 - 50
92 - 70
100 - 69
100 - 75
92 - 63
92 - 64
75 - 47
85 - 43
64 - 39
93 - 62
100 - 79
85 - 72
85 - 64
Max Avg Min
18 - 0
22 - 8
16 - 0
21 - 0
18 - 9
20 - 0
17 - 0
22 - 5
16 - 4
14 - 0
20 - 4
18 - 8
28 - 0
22 - 0
21 - 6
14 - 4
22 - 4
24 - 6
18 - 5
18 - 5
20 - 0
12 - 0
22 - 6
29 - 14
30 - 5
13 - 0
22 - 7
22 - 4
24 - 7
20 - 8
16 - 6
Max Avg Min
29.93 - 29.7
29.78 - 29.54
29.97 - 29.76
29.9 - 29.68
30.14 - 29.89
30.2 - 29.81
29.83 - 29.7
29.81 - 29.47
30.42 - 29.8
30.41 - 29.89
29.88 - 29.76
29.76 - 29.58
29.89 - 29.52
30.16 - 29.92
30.12 - 29.65
29.64 - 29.55
29.58 - 29.46
29.96 - 29.58
29.91 - 29.7
30.09 - 29.84
30.5 - 29.94
30.5 - 30.24
30.25 - 29.91
30.02 - 29.61
30.43 - 30.05
30.54 - 30.42
30.42 - 30.17
30.2 - 29.58
29.6 - 29.31
29.88 - 29.6
30.01 - 29.86
Max Avg Min
- 0.03 -
- 0.37 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.05 -
- 0.00 -
- 0.67 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.78 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.43 -
- 0.28 -
- 0.00 -
- 0.00 -
