Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
30 27 24
30 28 25
32 29 25
44 38 32
40 36 32
34 30 26
27 26 24
38 31 23
36 26 16
16 6 -4
15 6 -3
22 18 13
21 14 7
34 24 13
24 17 9
33 19 5
47 39 30
32 20 7
14 9 4
19 12 5
23 16 8
27 24 21
33 26 19
36 27 17
34 33 31
32 26 20
23 19 15
26 17 8
38 31 23
Max Avg Min
25 23 19
25 23 20
29 26 21
43 34 28
39 32 28
31 29 23
22 20 18
33 27 21
32 23 3
0 -13 -17
10 -3 -15
18 14 9
9 6 2
27 21 10
16 4 -2
27 11 0
43 35 24
27 10 -2
5 0 -4
5 0 -4
14 6 -2
21 17 14
17 14 11
27 21 14
31 30 28
30 20 9
11 8 6
20 10 3
31 25 19
Max Avg Min
92 - 72
88 - 78
92 - 78
100 - 85
100 - 82
92 - 85
88 - 74
96 - 75
89 - 67
65 - 50
80 - 45
84 - 73
87 - 56
81 - 69
77 - 42
76 - 42
100 - 72
78 - 61
79 - 58
80 - 42
74 - 45
81 - 68
74 - 43
92 - 56
92 - 85
92 - 50
74 - 50
84 - 45
92 - 56
Max Avg Min
21 - 0
16 - 0
16 - 0
16 - 0
25 - 4
31 - 13
15 - 0
21 - 0
29 - 9
31 - 9
14 - 0
20 - 4
14 - 0
22 - 5
18 - 4
14 - 0
31 - 6
26 - 9
21 - 6
20 - 5
16 - 0
14 - 0
10 - 0
16 - 0
16 - 0
28 - 8
20 - 6
17 - 0
33 - 8
Max Avg Min
30.12 - 29.84
30.15 - 30
30.26 - 30.02
30.02 - 29.67
29.97 - 29.67
29.83 - 29.38
29.99 - 29.86
29.87 - 29.7
30.01 - 29.66
30.53 - 30.05
30.53 - 30.24
30.25 - 29.87
30.06 - 29.96
30.09 - 29.86
30.44 - 30.12
30.38 - 29.81
29.75 - 29.05
29.94 - 29.52
30.1 - 29.94
30.48 - 30.03
30.47 - 30.04
30.04 - 29.97
30.22 - 30.05
30.19 - 29.96
29.97 - 29.75
30.02 - 29.7
30.14 - 30.01
30.25 - 30.1
30.09 - 29.89
Max Avg Min
- 0.14 -
- 0.00 -
- 0.16 -
- 0.33 -
- 0.18 -
- 0.54 -
- 0.00 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 1.10 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.45 -
- 0.25 -
- 0.00 -
- 0.02 -
- 0.12 -
