Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
72 60 47
73 62 50
75 66 56
75 65 54
78 66 54
77 69 61
77 68 59
78 69 60
78 72 65
81 73 64
80 71 61
79 69 58
80 69 58
84 71 58
82 73 64
71 65 59
72 61 50
79 65 50
76 66 55
73 64 54
67 64 60
77 68 59
76 69 62
73 69 64
70 65 60
69 62 55
74 62 50
62 56 49
60 54 48
62 55 47
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
89 - 37
93 - 38
86 - 46
93 - 43
93 - 40
93 - 53
97 - 46
90 - 50
93 - 60
100 - 45
100 - 42
100 - 39
100 - 33
84 - 32
84 - 45
87 - 49
96 - 47
93 - 45
93 - 46
93 - 44
100 - 78
100 - 68
100 - 68
100 - 64
97 - 57
97 - 59
100 - 46
77 - 46
77 - 53
80 - 42
Max Avg Min
13 - 0
12 - 0
13 - 0
12 - 0
14 - 0
13 - 0
13 - 0
15 - 0
14 - 0
15 - 0
14 - 0
13 - 0
10 - 0
9 - 0
18 - 0
21 - 0
12 - 0
15 - 0
14 - 0
16 - 0
10 - 0
20 - 0
10 - 0
10 - 0
18 - 0
12 - 0
26 - 0
30 - 0
23 - 0
13 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.75 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.00 -
- 0.08 -
- 0.01 -
- 0.00 -
- 0.00 -
