Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
36 32 27
33 28 23
39 32 24
42 32 22
38 31 23
45 33 20
46 36 26
44 39 33
51 42 32
62 54 46
60 52 44
55 48 40
45 43 41
50 45 40
48 44 39
61 48 35
63 48 32
61 51 41
65 52 39
39 35 31
42 38 33
49 42 34
59 44 28
53 44 35
47 38 29
41 34 27
50 41 31
52 45 37
46 38 30
64 47 29
77 64 51
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
85 - 70
88 - 69
88 - 30
92 - 30
92 - 52
92 - 43
100 - 49
100 - 82
100 - 63
96 - 60
96 - 72
100 - 63
100 - 92
93 - 60
82 - 65
82 - 19
75 - 17
76 - 46
79 - 37
92 - 70
89 - 54
70 - 34
92 - 26
82 - 21
89 - 56
69 - 21
78 - 39
76 - 21
85 - 53
100 - 36
68 - 31
Max Avg Min
14 - 0
15 - 0
14 - 0
15 - 0
16 - 0
12 - 0
12 - 0
8 - 0
13 - 0
17 - 0
20 - 0
22 - 0
25 - 0
26 - 0
17 - 0
10 - 0
10 - 0
22 - 0
23 - 0
24 - 0
22 - 0
21 - 0
13 - 0
12 - 0
36 - 0
22 - 0
15 - 0
26 - 0
13 - 0
20 - 0
28 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.01 -
- 0.07 -
- 0.34 -
- 0.01 -
- 0.61 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.42 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
