Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
86 76 65
84 76 67
86 76 66
83 77 71
83 76 68
82 73 64
83 73 62
87 78 69
88 80 72
89 82 75
90 83 75
92 83 74
92 83 73
88 80 72
83 75 66
80 72 63
79 72 64
84 74 63
88 77 66
92 82 71
86 79 71
81 75 68
80 73 65
84 74 64
79 70 61
79 69 59
86 73 59
88 77 65
94 83 71
88 81 74
93 84 75
Max Avg Min
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
Max Avg Min
93 - 48
90 - 55
94 - 70
100 - 74
93 - 43
84 - 42
93 - 54
84 - 55
87 - 57
94 - 55
94 - 43
94 - 49
87 - 41
93 - 50
87 - 40
84 - 35
84 - 43
93 - 45
84 - 46
84 - 51
93 - 59
90 - 51
93 - 58
93 - 47
78 - 33
75 - 32
80 - 43
93 - 26
93 - 46
74 - 53
82 - 44
Max Avg Min
10 - 0
18 - 0
13 - 0
38 - 0
22 - 0
14 - 0
17 - 0
30 - 0
22 - 0
12 - 0
17 - 0
12 - 0
31 - 0
13 - 0
23 - 0
21 - 0
13 - 0
10 - 0
14 - 0
22 - 0
15 - 0
14 - 0
14 - 0
17 - 0
17 - 0
10 - 0
13 - 0
17 - 0
20 - 0
20 - 0
21 - 0
Max Avg Min
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
0 - 0
Max Avg Min
- 0.00 -
- 0.00 -
- 0.28 -
- 0.48 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.15 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.25 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.05 -
- 0.00 -
- 0.03 -
- 0.45 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
