Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
54 44 34
48 41 34
45 41 36
48 40 32
44 38 32
42 36 29
47 44 40
45 40 35
56 45 33
66 58 50
70 55 40
40 35 29
41 33 24
45 37 29
48 39 30
54 41 27
55 41 26
57 44 31
59 48 36
58 49 40
54 44 34
63 53 42
42 35 28
32 28 24
43 36 29
36 30 23
33 25 17
44 36 27
51 42 33
51 44 36
Max Avg Min
32 24 16
32 30 28
36 33 31
35 30 23
34 30 27
38 33 26
40 38 37
41 36 33
46 40 32
55 50 46
55 50 38
35 24 18
24 20 16
28 24 20
31 27 25
40 32 27
37 31 26
35 32 28
43 37 32
46 44 41
47 42 35
52 46 34
32 21 16
21 18 15
25 24 22
23 17 10
14 11 8
24 20 16
34 30 25
37 35 31
Max Avg Min
58 - 28
82 - 46
79 - 65
89 - 38
89 - 57
92 - 62
100 - 71
92 - 65
96 - 61
89 - 56
93 - 55
89 - 61
75 - 44
75 - 45
82 - 49
92 - 38
100 - 38
92 - 41
89 - 43
100 - 62
100 - 71
93 - 52
76 - 54
75 - 54
78 - 48
69 - 44
67 - 36
64 - 43
75 - 48
92 - 52
Max Avg Min
17 - 6
16 - 4
14 - 4
13 - 0
13 - 0
13 - 0
8 - 0
15 - 0
9 - 4
28 - 0
40 - 8
24 - 9
17 - 5
13 - 7
9 - 0
10 - 0
12 - 0
10 - 0
15 - 4
12 - 0
15 - 0
31 - 10
30 - 13
15 - 5
17 - 4
15 - 5
14 - 5
14 - 5
14 - 7
13 - 0
Max Avg Min
29.89 - 29.81
30.15 - 29.91
30.22 - 30.14
30.24 - 30.18
30.2 - 30.12
30.11 - 29.89
30.16 - 29.9
30.21 - 30.09
30.11 - 29.98
29.99 - 29.84
29.94 - 29.73
30.35 - 29.94
30.51 - 30.36
30.53 - 30.38
30.4 - 30.32
30.48 - 30.36
30.56 - 30.46
30.45 - 30.32
30.3 - 30.11
30.18 - 30.07
30.24 - 30.09
30.07 - 29.77
30.22 - 29.88
30.27 - 29.99
30.07 - 29.84
30.39 - 30.08
30.42 - 30.25
30.37 - 30.25
30.27 - 30.08
30.16 - 30.05
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.13 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.22 -
- 0.29 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.27 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
