Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
41 35 29
45 35 25
44 35 25
58 42 25
45 41 36
70 53 36
59 50 40
64 53 41
55 47 39
41 40 38
46 42 38
45 41 37
45 40 34
69 54 38
66 55 44
58 49 40
49 46 42
63 51 39
40 37 33
47 39 31
54 42 29
67 53 38
59 49 38
50 44 37
51 45 38
67 51 34
68 56 43
65 57 49
74 61 47
85 73 61
Max Avg Min
22 16 11
19 13 9
21 15 12
33 23 19
32 25 17
47 33 23
48 39 32
54 46 33
46 40 37
39 38 36
45 42 36
38 34 30
31 29 26
50 37 27
54 49 43
40 35 32
46 40 32
58 50 34
34 30 28
28 23 18
30 25 19
38 33 30
51 44 36
37 32 26
37 33 30
45 38 28
46 42 38
52 49 42
54 52 48
60 56 52
Max Avg Min
69 - 33
63 - 24
63 - 30
81 - 26
75 - 40
75 - 26
83 - 43
100 - 60
100 - 77
100 - 92
100 - 92
92 - 70
76 - 49
70 - 47
93 - 56
89 - 40
100 - 62
100 - 70
96 - 64
69 - 33
85 - 35
76 - 29
93 - 54
92 - 42
86 - 46
76 - 44
93 - 34
96 - 61
96 - 49
78 - 34
Max Avg Min
22 - 7
21 - 0
14 - 4
16 - 0
21 - 8
37 - 8
25 - 7
33 - 6
23 - 6
33 - 7
26 - 0
24 - 8
24 - 0
30 - 5
32 - 0
15 - 4
26 - 0
33 - 0
32 - 12
20 - 5
20 - 6
18 - 5
18 - 4
18 - 6
23 - 5
25 - 4
16 - 0
10 - 0
24 - 4
29 - 14
Max Avg Min
30.19 - 29.9
30.31 - 30.17
30.45 - 30.32
30.32 - 29.97
30.24 - 30.01
30.16 - 29.58
29.97 - 29.6
29.98 - 29.57
30 - 29.84
29.99 - 29.84
29.89 - 29.55
29.84 - 29.56
29.99 - 29.83
30.01 - 29.67
29.98 - 29.7
30.27 - 29.95
30.28 - 29.79
29.8 - 29.42
29.91 - 29.48
30.44 - 29.9
30.52 - 30.33
30.32 - 30.04
30.02 - 29.88
30.11 - 29.93
30.33 - 30.05
30.35 - 30.23
30.29 - 30
29.99 - 29.82
29.91 - 29.77
29.92 - 29.76
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.04 -
- 0.00 -
- 0.49 -
- 0.20 -
- 0.94 -
- 0.24 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.36 -
- 0.01 -
- 2.01 -
- 3.54 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.70 -
- 0.04 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
