Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
75 67 59
68 64 60
72 66 59
83 70 56
86 73 60
83 74 65
88 79 70
86 78 70
85 79 73
85 76 66
81 73 64
83 71 58
84 73 62
88 80 72
89 80 71
92 83 73
94 85 76
95 86 77
96 84 71
89 80 71
88 78 68
87 79 71
78 71 63
72 66 60
81 69 57
70 66 62
65 60 55
69 62 54
76 67 57
74 66 57
75 69 62
Max Avg Min
55 51 47
58 53 48
64 60 57
62 60 57
65 61 54
66 65 62
71 67 66
75 71 69
76 74 70
76 66 54
59 53 45
57 53 46
62 59 53
68 66 62
74 71 68
74 72 71
73 71 70
74 72 67
73 70 65
71 65 57
68 65 61
69 67 62
64 60 55
54 50 46
58 54 50
65 62 57
60 52 46
51 49 46
58 55 52
64 60 55
66 64 62
Max Avg Min
78 - 38
90 - 56
97 - 73
100 - 49
100 - 34
93 - 51
84 - 50
87 - 65
100 - 70
94 - 40
84 - 32
80 - 34
93 - 37
84 - 46
94 - 52
94 - 52
87 - 46
88 - 41
79 - 36
93 - 36
90 - 43
93 - 43
81 - 56
67 - 41
93 - 36
100 - 66
97 - 56
86 - 45
80 - 49
93 - 57
100 - 73
Max Avg Min
23 - 6
17 - 7
12 - 0
15 - 0
14 - 0
12 - 0
15 - 4
22 - 0
24 - 0
18 - 0
15 - 0
14 - 0
18 - 0
15 - 4
17 - 0
14 - 0
15 - 0
24 - 4
39 - 4
16 - 4
21 - 0
29 - 0
29 - 0
15 - 4
12 - 0
17 - 5
20 - 6
18 - 5
13 - 0
13 - 0
20 - 0
Max Avg Min
30.06 - 29.97
30.08 - 30.04
30.07 - 30.01
30.09 - 30.03
30.08 - 30
30.05 - 29.97
30 - 29.94
30.03 - 29.91
29.98 - 29.85
29.99 - 29.82
30.09 - 30
30.14 - 30.08
30.15 - 30.09
30.21 - 30.14
30.25 - 30.2
30.3 - 30.22
30.3 - 30.16
30.17 - 29.94
29.93 - 29.74
29.96 - 29.79
29.95 - 29.83
29.85 - 29.72
29.97 - 29.66
30.06 - 29.97
30.1 - 30.03
30.02 - 29.87
29.91 - 29.86
30.01 - 29.86
30.18 - 30.02
30.18 - 30.07
30.07 - 29.94
Max Avg Min
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.50 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.58 -
- 0.06 -
- 0.01 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.39 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.04 -
- 0.50 -
