Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
59 56 52
60 56 51
54 51 48
57 54 50
60 58 55
71 63 55
71 63 54
77 64 50
64 56 47
65 54 42
79 65 51
75 64 53
63 55 47
63 53 42
69 58 46
55 46 37
53 43 33
60 47 33
73 60 47
74 66 57
75 64 52
62 57 51
64 58 52
66 56 46
62 52 41
61 49 37
56 53 50
56 47 37
47 42 36
56 46 36
52 49 45
Max Avg Min
44 42 41
47 41 39
47 42 37
53 49 45
55 54 53
56 54 50
56 54 50
62 55 48
59 49 44
46 44 41
53 48 44
56 47 39
45 41 38
42 38 35
41 34 21
34 29 26
28 23 17
36 28 24
38 32 26
55 41 36
58 54 48
54 46 39
61 49 42
63 56 42
41 38 33
45 40 37
50 44 40
55 47 28
39 33 28
42 38 34
50 45 39
Max Avg Min
68 - 53
71 - 49
93 - 59
89 - 80
93 - 84
100 - 49
93 - 57
89 - 47
93 - 62
96 - 44
77 - 39
78 - 27
80 - 48
86 - 36
71 - 20
70 - 35
70 - 28
75 - 28
49 - 26
86 - 29
89 - 50
86 - 47
93 - 56
100 - 71
89 - 34
92 - 42
96 - 59
100 - 64
82 - 65
100 - 51
100 - 71
Max Avg Min
28 - 10
25 - 14
25 - 10
17 - 8
10 - 4
12 - 0
15 - 0
21 - 0
20 - 0
15 - 0
23 - 8
31 - 8
23 - 0
17 - 5
33 - 6
21 - 8
21 - 4
12 - 0
28 - 9
20 - 0
22 - 6
13 - 4
18 - 8
26 - 5
13 - 0
14 - 0
26 - 5
31 - 6
28 - 5
15 - 0
22 - 6
Max Avg Min
30.35 - 30.26
30.36 - 30.28
30.25 - 30.19
30.21 - 30.18
30.21 - 30.14
30.19 - 30.09
30.16 - 30.08
30.12 - 29.85
30.25 - 29.9
30.25 - 29.95
29.93 - 29.64
29.61 - 29.45
29.86 - 29.57
30.04 - 29.86
30.15 - 29.92
30.34 - 30.15
30.49 - 30.34
30.51 - 30.32
30.3 - 29.99
30.13 - 30.02
30.12 - 30
30.3 - 30.12
30.27 - 29.89
30.13 - 29.77
30.38 - 30.16
30.42 - 30.31
30.3 - 29.75
29.74 - 29.39
29.98 - 29.52
30.15 - 30
30.03 - 29.67
Max Avg Min
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.11 -
- 0.01 -
- 0.00 -
- 0.16 -
- 0.30 -
- 0.00 -
- 0.00 -
- 0.49 -
- 0.33 -
- 0.00 -
- 0.00 -
- 0.77 -
