May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
49 46 42
59 51 42
67 54 40
57 50 42
61 51 41
82 62 42
70 57 44
71 56 41
58 54 50
63 57 51
69 60 51
70 62 53
66 55 43
47 44 41
55 45 35
70 58 46
57 51 44
65 53 41
69 54 39
68 56 44
75 64 53
77 65 53
81 65 48
86 73 60
86 75 64
83 73 62
81 74 66
81 73 64
79 71 63
87 75 63
83 73 63
Max Avg Min
45 44 42
42 37 31
41 37 34
47 41 34
43 37 33
49 44 38
55 39 17
41 35 28
51 47 41
59 54 51
60 55 52
63 56 44
53 47 41
41 33 28
32 28 23
45 38 31
45 39 29
46 38 29
40 33 26
43 39 34
43 36 28
44 43 40
47 43 37
58 50 43
65 63 58
67 64 61
70 66 63
66 64 59
62 60 56
60 57 51
63 59 53
Max Avg Min
100 - 86
92 - 38
76 - 37
86 - 56
73 - 47
83 - 28
78 - 23
70 - 22
100 - 61
100 - 90
100 - 73
100 - 52
100 - 42
83 - 49
82 - 32
62 - 31
71 - 41
71 - 48
85 - 22
83 - 35
57 - 19
66 - 31
86 - 25
64 - 27
100 - 44
93 - 51
93 - 54
93 - 60
93 - 45
78 - 29
87 - 42
Max Avg Min
17 - 0
18 - 0
18 - 0
29 - 5
22 - 0
16 - 0
32 - 0
14 - 0
25 - 4
21 - 0
13 - 0
23 - 0
29 - 0
24 - 7
22 - 4
23 - 8
20 - 4
15 - 0
14 - 0
15 - 0
21 - 0
14 - 5
18 - 0
22 - 0
32 - 4
16 - 0
28 - 6
24 - 6
22 - 5
16 - 0
29 - 0
Max Avg Min
30.02 - 29.9
30.08 - 30
30 - 29.65
29.89 - 29.61
30.02 - 29.88
30 - 29.72
29.89 - 29.65
29.96 - 29.89
29.98 - 29.91
29.97 - 29.87
30.06 - 29.96
29.97 - 29.89
30.02 - 29.8
30.06 - 29.85
30.15 - 30.06
30.15 - 30.06
30.27 - 30.14
30.26 - 30.2
30.23 - 30.15
30.19 - 30.09
30.13 - 30.07
30.09 - 30
30.05 - 29.9
30 - 29.9
30 - 29.86
29.94 - 29.8
29.91 - 29.8
29.96 - 29.84
30 - 29.94
30.02 - 29.94
30.04 - 29.94
Max Avg Min
- 0.51 -
- 0.00 -
- 0.00 -
- 0.40 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.59 -
- 0.80 -
- 0.19 -
- 0.48 -
- 0.68 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.95 -
- 0.00 -
- 0.13 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.56 -
