Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
50 44 37
52 46 39
47 42 37
55 49 42
59 53 47
62 59 56
62 52 42
45 41 36
52 44 36
46 39 32
39 34 29
44 39 33
47 40 32
50 43 36
59 53 47
59 50 41
42 37 31
31 27 22
47 38 28
48 45 41
62 52 42
58 53 48
49 42 35
36 33 29
46 39 31
45 42 38
57 48 38
50 41 31
38 31 24
51 44 37
54 50 46
Max Avg Min
29 24 18
34 29 25
34 29 25
49 42 34
52 49 46
61 58 52
61 51 41
41 28 23
40 33 24
35 22 11
20 16 11
20 17 15
29 21 17
38 33 28
48 43 39
50 28 19
25 20 15
15 9 2
54 25 10
38 32 26
57 49 37
47 40 36
46 39 22
19 17 14
34 26 12
32 26 23
55 43 26
39 26 14
25 12 6
45 34 27
44 41 38
Max Avg Min
62 - 34
70 - 38
70 - 45
89 - 55
100 - 77
97 - 75
100 - 90
96 - 45
71 - 53
67 - 37
58 - 32
56 - 31
60 - 31
71 - 53
80 - 57
77 - 34
59 - 37
65 - 28
66 - 42
82 - 45
96 - 82
72 - 47
100 - 53
63 - 44
70 - 44
70 - 41
100 - 57
74 - 44
56 - 35
86 - 44
86 - 59
Max Avg Min
17 - 0
15 - 0
10 - 0
14 - 0
14 - 0
15 - 0
17 - 0
21 - 0
14 - 0
15 - 0
10 - 0
9 - 0
13 - 0
8 - 0
17 - 0
23 - 0
14 - 0
14 - 0
17 - 0
14 - 0
24 - 0
15 - 0
16 - 0
15 - 0
16 - 0
18 - 4
21 - 4
22 - 5
16 - 0
10 - 0
13 - 0
Max Avg Min
30.31 - 29.98
30.51 - 30.27
30.67 - 30.52
30.62 - 30.4
30.42 - 30.2
30.17 - 29.91
29.91 - 29.42
30.32 - 29.44
30.35 - 30.2
30.51 - 30.18
30.65 - 30.51
30.61 - 30.44
30.43 - 30.32
30.43 - 30.34
30.31 - 29.77
30.14 - 29.76
30.16 - 30.09
30.32 - 30.15
30.29 - 29.97
30.21 - 29.98
30.16 - 29.7
30.1 - 29.81
30.22 - 29.8
30.48 - 30.22
30.42 - 29.9
30.3 - 29.9
30.22 - 29.31
29.84 - 29.38
30.04 - 29.99
30.05 - 29.94
30.03 - 29.81
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.20 -
- 1.68 -
- 0.16 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.11 -
- 0.06 -
- 0.75 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
