Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
Max Avg Min
62 55 48
50 43 35
44 37 30
46 41 35
40 36 32
51 42 33
49 44 38
38 35 31
46 39 31
45 40 34
38 35 32
32 26 20
44 36 28
47 42 36
46 43 39
44 40 36
50 46 41
48 42 35
44 40 35
46 39 31
46 39 32
57 50 43
58 52 46
46 41 36
45 39 33
45 37 29
59 48 36
50 45 40
42 40 38
Max Avg Min
43 37 31
33 28 21
20 18 15
23 22 21
21 18 16
27 23 18
27 26 22
30 23 10
28 22 15
30 23 20
32 28 19
22 12 -3
19 16 12
36 20 10
40 36 31
41 36 29
43 33 19
36 24 18
27 22 18
20 16 12
37 26 13
41 34 26
42 32 24
43 37 25
25 20 6
18 12 6
35 29 17
32 21 19
40 34 21
Max Avg Min
71 - 41
65 - 52
58 - 33
52 - 40
61 - 40
61 - 35
55 - 39
92 - 35
92 - 31
76 - 39
96 - 52
58 - 36
58 - 30
70 - 23
92 - 62
96 - 60
96 - 31
79 - 33
70 - 36
58 - 25
71 - 38
76 - 32
80 - 33
100 - 42
59 - 35
50 - 28
64 - 35
48 - 31
100 - 45
Max Avg Min
20 - 0
16 - 0
16 - 0
15 - 0
10 - 0
16 - 4
16 - 0
13 - 0
15 - 0
15 - 0
15 - 0
23 - 5
18 - 4
20 - 0
10 - 0
12 - 0
16 - 0
16 - 0
18 - 0
17 - 4
16 - 0
16 - 0
21 - 0
21 - 0
22 - 9
28 - 0
14 - 0
21 - 0
15 - 0
Max Avg Min
30.01 - 29.87
30.25 - 30.01
30.45 - 30.26
30.33 - 30.12
30.18 - 30.1
30.16 - 29.96
30.24 - 29.96
30.31 - 30.1
30.14 - 30.06
30.14 - 29.93
29.9 - 29.57
29.97 - 29.68
30.04 - 29.94
30.11 - 30.01
30.28 - 30.17
30.3 - 30.03
30.04 - 29.93
30.09 - 29.88
30.09 - 29.94
0 - 0
30.3 - 29.88
29.86 - 29.49
29.77 - 29.38
29.73 - 29.36
30.04 - 29.43
30.44 - 30.08
30.43 - 30.09
30.39 - 30.18
30.36 - 29.76
Max Avg Min
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.01 -
- 0.19 -
- 0.03 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.60 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.37 -
