Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
94 84 74
88 80 72
89 80 71
92 81 70
95 86 77
93 83 72
97 85 72
92 82 72
86 80 73
87 78 69
85 78 71
89 80 70
89 82 74
85 79 73
89 80 71
91 81 70
96 85 74
100 87 73
76 72 68
72 67 61
78 70 61
83 74 65
86 79 71
91 83 74
85 76 67
88 78 68
87 79 71
81 75 68
80 74 68
81 75 68
80 75 70
Max Avg Min
66 62 54
57 54 50
65 59 54
69 66 62
70 63 47
67 63 54
71 66 61
73 67 56
59 56 53
64 57 49
68 62 58
64 60 53
68 62 58
66 62 59
75 70 66
70 67 63
67 63 61
74 71 66
72 65 58
67 63 60
62 58 51
63 60 55
75 69 63
71 66 57
57 52 49
72 66 56
71 69 66
73 70 66
68 66 64
67 65 63
66 64 63
Max Avg Min
64 - 36
53 - 31
61 - 34
100 - 41
69 - 21
73 - 28
74 - 31
100 - 34
57 - 34
73 - 30
79 - 40
78 - 34
71 - 42
74 - 47
93 - 59
93 - 43
64 - 36
100 - 39
93 - 64
100 - 73
100 - 40
81 - 42
93 - 57
87 - 38
56 - 34
100 - 53
93 - 51
97 - 62
93 - 62
90 - 62
84 - 54
Max Avg Min
14 - 0
9 - 0
14 - 0
12 - 0
10 - 0
10 - 0
12 - 0
12 - 0
10 - 0
12 - 0
10 - 0
10 - 0
9 - 0
13 - 0
14 - 0
9 - 0
14 - 0
13 - 0
17 - 0
18 - 0
12 - 0
10 - 0
10 - 0
14 - 0
14 - 0
21 - 0
12 - 0
12 - 0
9 - 0
10 - 0
10 - 0
Max Avg Min
29.86 - 29.76
29.95 - 29.85
29.96 - 29.82
29.86 - 29.71
29.86 - 29.72
29.93 - 29.85
29.86 - 29.76
29.89 - 29.8
29.97 - 29.86
30.08 - 29.97
30.19 - 30.08
30.2 - 30.14
30.2 - 30.15
30.2 - 30.13
30.15 - 29.93
29.93 - 29.78
29.86 - 29.74
29.9 - 29.75
30.02 - 29.87
30.09 - 29.95
30.13 - 30.04
30.17 - 30.11
30.13 - 29.8
29.79 - 29.59
29.9 - 29.75
29.81 - 29.62
29.86 - 29.68
29.98 - 29.86
30.07 - 29.93
30.15 - 30.06
30.12 - 29.92
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.00 -
- 0.00 -
- 0.50 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.26 -
- 0.00 -
- 0.00 -
- 1.76 -
- 0.02 -
- 0.58 -
- 0.00 -
- 0.00 -
- 0.15 -
- 0.00 -
- 0.00 -
- 0.60 -
- 0.00 -
- 0.18 -
- 0.01 -
- 0.00 -
- 0.00 -
