Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
70 65 59
68 62 55
55 46 37
46 41 35
55 48 41
61 55 49
64 54 44
50 45 40
50 44 38
61 53 44
53 48 43
52 42 31
39 34 29
52 43 33
57 51 44
60 53 45
60 56 51
65 58 51
51 44 36
44 38 32
52 44 35
57 54 51
54 43 31
30 27 23
35 29 23
47 40 33
62 49 35
35 33 30
39 34 29
39 32 25
Max Avg Min
62 57 50
55 44 36
40 30 20
23 16 12
41 34 25
51 44 40
56 48 29
31 25 21
33 26 22
35 30 26
30 26 22
33 23 13
18 13 8
19 15 11
27 22 19
46 40 27
57 53 46
60 44 22
26 22 19
19 15 9
40 31 18
48 45 39
45 23 8
5 2 -4
13 9 5
45 27 14
58 46 18
16 10 6
17 15 10
28 17 9
Max Avg Min
87 - 51
87 - 37
71 - 42
47 - 27
67 - 45
80 - 49
84 - 49
65 - 34
59 - 32
65 - 29
49 - 35
75 - 37
58 - 27
51 - 19
41 - 24
83 - 38
93 - 77
93 - 26
48 - 36
56 - 24
66 - 44
89 - 63
77 - 28
44 - 24
50 - 35
92 - 37
93 - 52
53 - 32
53 - 38
64 - 38
Max Avg Min
23 - 0
10 - 0
15 - 0
15 - 0
10 - 0
9 - 0
15 - 0
16 - 6
13 - 0
18 - 4
16 - 0
16 - 0
14 - 0
17 - 5
13 - 0
12 - 0
10 - 0
20 - 4
20 - 4
15 - 0
10 - 0
12 - 0
21 - 4
25 - 6
15 - 0
12 - 0
20 - 4
22 - 0
13 - 0
12 - 0
Max Avg Min
29.78 - 29.56
29.78 - 29.63
30.43 - 29.8
30.66 - 30.47
30.66 - 30.48
30.49 - 30.07
30.05 - 29.76
30.22 - 29.95
30.29 - 30
30.05 - 29.81
30.21 - 29.97
30.29 - 29.94
30.37 - 30.28
30.25 - 30.16
30.25 - 30.17
30.33 - 30.23
30.3 - 29.8
29.82 - 29.6
30.35 - 29.79
30.61 - 30.36
30.62 - 30.4
30.38 - 29.91
30.04 - 29.91
30.36 - 30.01
30.48 - 30.34
30.33 - 29.8
29.73 - 29.36
30.48 - 29.78
30.74 - 30.47
30.76 - 30.38
Max Avg Min
- 0.13 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.03 -
- 0.22 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.51 -
- 1.98 -
- 0.00 -
- 0.00 -
- 0.00 -
