Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
65 63 61
70 66 61
71 64 56
69 61 52
61 54 46
69 60 50
71 67 63
73 68 62
68 62 55
64 58 52
60 55 50
63 56 48
65 59 52
76 70 63
77 73 69
71 66 61
71 65 59
70 63 56
56 50 44
60 51 42
67 61 55
58 54 50
53 52 50
63 57 51
67 59 50
63 58 53
63 56 48
72 63 53
72 62 51
59 53 47
55 50 45
Max Avg Min
60 57 55
57 54 53
54 51 45
66 58 34
37 34 31
52 45 36
60 54 49
62 52 38
40 37 35
43 38 35
50 48 42
46 40 33
60 53 42
63 62 61
67 66 63
68 62 52
54 51 47
54 48 40
42 32 24
44 33 26
54 50 41
54 50 47
48 46 43
46 43 38
44 39 35
48 37 33
37 36 34
55 47 35
56 51 40
45 38 33
44 37 31
Max Avg Min
90 - 73
84 - 59
80 - 42
93 - 46
58 - 38
71 - 37
81 - 47
87 - 37
55 - 32
54 - 37
89 - 53
86 - 34
93 - 60
93 - 60
90 - 69
93 - 57
78 - 44
78 - 44
61 - 35
62 - 40
93 - 48
93 - 77
89 - 66
72 - 47
55 - 40
67 - 36
61 - 36
72 - 43
83 - 39
86 - 40
80 - 50
Max Avg Min
14 - 0
13 - 0
10 - 0
16 - 0
15 - 0
15 - 0
10 - 0
15 - 4
18 - 0
7 - 0
10 - 0
13 - 0
8 - 0
13 - 0
14 - 0
13 - 0
14 - 0
15 - 0
17 - 0
12 - 0
12 - 0
18 - 4
12 - 0
12 - 0
13 - 0
18 - 5
13 - 0
12 - 0
14 - 0
10 - 0
15 - 0
Max Avg Min
30.11 - 29.93
30.18 - 30.01
30.15 - 29.86
29.84 - 29.5
30 - 29.71
30.08 - 30.01
30.06 - 29.92
29.95 - 29.8
30.06 - 29.95
30.14 - 30.05
30.18 - 30.05
30.32 - 30.17
30.34 - 30.24
30.25 - 30.12
30.12 - 29.84
29.85 - 29.68
29.76 - 29.67
29.72 - 29.57
30.07 - 29.72
30.13 - 29.96
29.96 - 29.83
29.96 - 29.74
29.81 - 29.7
29.84 - 29.76
29.87 - 29.56
29.83 - 29.55
30.03 - 29.84
30.05 - 29.91
29.95 - 29.83
30.03 - 29.94
30.03 - 29.87
Max Avg Min
- 0.02 -
- 0.00 -
- 0.00 -
- 1.18 -
- 0.00 -
- 0.00 -
- 0.06 -
- 0.04 -
- 0.00 -
- 0.00 -
- 0.33 -
- 0.00 -
- 0.05 -
- 0.00 -
- 0.69 -
- 1.11 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.11 -
- 1.51 -
- 0.61 -
- 0.00 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
