Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max Avg Min
45 41 36
56 48 39
43 38 32
35 29 22
34 32 29
32 27 21
32 28 24
29 25 21
31 26 21
29 25 21
26 21 16
25 19 13
36 30 24
40 36 31
37 32 27
30 26 21
32 25 18
39 33 26
45 40 34
51 44 37
49 43 36
54 47 40
54 49 43
44 36 27
33 29 24
31 26 20
34 24 14
24 17 9
Max Avg Min
38 21 14
36 34 31
34 28 21
24 21 16
31 28 24
24 16 12
16 13 10
10 4 -2
23 15 3
18 9 5
7 3 1
16 6 -2
32 28 18
30 26 22
28 25 12
12 9 6
6 2 -3
31 23 8
40 32 18
37 29 23
45 36 32
32 24 17
30 27 24
27 13 5
13 9 5
21 10 -7
12 1 -16
-1 -7 -13
Max Avg Min
76 - 33
85 - 43
92 - 70
81 - 61
92 - 63
81 - 50
63 - 43
50 - 31
84 - 42
75 - 38
59 - 36
65 - 39
96 - 68
92 - 48
92 - 52
60 - 39
56 - 25
92 - 42
92 - 47
92 - 33
96 - 67
70 - 24
58 - 32
57 - 29
55 - 36
81 - 28
50 - 28
42 - 26
Max Avg Min
13 - 0
10 - 0
10 - 4
7 - 0
15 - 0
13 - 0
15 - 4
12 - 0
12 - 0
15 - 4
14 - 0
14 - 4
25 - 0
22 - 5
18 - 4
18 - 4
16 - 0
16 - 0
16 - 0
14 - 0
21 - 0
17 - 5
18 - 0
17 - 4
18 - 0
17 - 0
21 - 0
15 - 0
Max Avg Min
30.33 - 30.02
30.08 - 29.92
30.32 - 30.08
30.47 - 30.27
30.24 - 29.65
30.28 - 30
30.33 - 30.22
30.34 - 30.15
30.19 - 29.99
30.27 - 29.99
30.48 - 30.27
30.57 - 30.3
30.3 - 29.02
29.78 - 29.03
29.78 - 29.57
30.07 - 29.79
30.37 - 30.16
30.26 - 29.96
30.1 - 29.7
30.25 - 30.04
30.06 - 29.67
30.05 - 29.93
30.02 - 29.85
30.08 - 29.81
30.08 - 29.93
29.97 - 29.82
30.1 - 29.62
30.43 - 30.14
Max Avg Min
- 0.00 -
- 0.00 -
- 1.17 -
- 0.00 -
- 1.43 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.10 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.78 -
- 0.30 -
- 0.13 -
- 0.00 -
- 0.00 -
- 0.16 -
- 0.26 -
- 0.03 -
- 0.09 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.03 -
- 0.00 -
- 0.00 -
