Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max Avg Min
77 66 55
80 70 59
87 76 65
82 73 63
76 69 61
76 69 61
82 71 60
86 76 66
73 68 63
77 71 65
70 66 61
73 67 60
79 72 65
74 67 60
80 70 59
81 72 63
89 80 71
89 83 76
77 73 68
79 72 64
78 70 62
79 72 64
81 73 65
81 75 68
85 78 70
85 78 70
83 75 67
87 77 66
83 76 68
84 77 69
Max Avg Min
46 39 33
56 48 39
70 62 53
63 61 60
63 60 47
50 48 46
55 52 50
59 54 51
65 62 50
68 65 62
66 59 56
67 62 56
68 65 63
67 60 45
54 51 49
58 56 54
69 63 58
68 62 55
68 63 60
64 47 39
52 48 42
58 53 48
58 56 53
61 58 53
70 68 60
69 67 62
65 60 55
59 55 48
63 55 50
66 62 51
Max Avg Min
66 - 21
55 - 35
93 - 45
93 - 51
93 - 41
64 - 38
72 - 35
73 - 32
100 - 44
93 - 74
90 - 66
97 - 78
100 - 71
93 - 44
72 - 39
78 - 39
68 - 46
67 - 35
93 - 60
84 - 26
60 - 32
78 - 38
73 - 46
70 - 45
90 - 61
93 - 54
79 - 43
68 - 27
68 - 42
84 - 47
Max Avg Min
10 - 0
10 - 0
13 - 0
10 - 0
13 - 0
10 - 0
9 - 0
13 - 0
9 - 0
8 - 0
16 - 4
10 - 0
9 - 0
14 - 0
12 - 0
12 - 0
9 - 0
14 - 4
10 - 0
12 - 0
13 - 0
9 - 0
12 - 0
12 - 0
12 - 0
13 - 0
13 - 0
12 - 0
12 - 0
10 - 0
Max Avg Min
30.37 - 30.26
30.27 - 30.02
30.03 - 29.82
29.88 - 29.74
29.81 - 29.65
29.95 - 29.8
30.01 - 29.92
29.96 - 29.88
29.98 - 29.9
30 - 29.93
30.15 - 30
30.12 - 29.93
29.95 - 29.75
30.04 - 29.78
30.1 - 30.04
30.18 - 30.06
30.06 - 29.88
29.97 - 29.81
30.04 - 29.94
30.02 - 29.9
29.99 - 29.89
30.04 - 29.92
30.15 - 30.05
30.18 - 30.03
30.04 - 29.84
29.97 - 29.81
30.23 - 29.99
30.28 - 30.23
30.27 - 30.13
30.12 - 29.95
Max Avg Min
- 0.00 -
- 0.00 -
- 0.12 -
- 0.00 -
- 0.87 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.60 -
- 0.00 -
- 0.02 -
- 0.07 -
- 1.28 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.15 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.07 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
