Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
31 28 24
39 33 27
37 30 22
45 40 35
40 30 19
27 20 12
38 28 18
49 43 37
54 47 40
53 46 39
59 52 44
47 42 36
43 37 31
51 46 40
44 40 36
52 44 35
57 46 34
39 34 29
43 36 29
38 34 29
47 38 29
43 36 28
38 31 23
45 36 26
49 42 34
62 52 42
46 43 39
40 33 26
46 36 25
54 45 36
47 41 35
Max Avg Min
23 16 -1
25 18 8
32 20 7
39 35 31
36 23 3
8 3 -2
19 11 4
28 22 18
30 24 19
43 36 24
45 39 17
22 7 -6
27 9 -2
48 41 27
41 29 22
31 25 21
42 27 6
13 9 7
11 4 -1
28 19 1
35 28 25
29 12 4
7 4 -2
18 8 3
40 26 13
57 46 38
41 34 24
24 20 14
18 6 -1
32 23 11
35 30 21
Max Avg Min
84 - 28
78 - 32
85 - 39
92 - 70
100 - 49
61 - 34
56 - 38
57 - 31
53 - 28
92 - 42
93 - 29
43 - 11
59 - 17
93 - 53
89 - 45
59 - 38
71 - 27
43 - 27
46 - 17
92 - 23
92 - 58
57 - 25
50 - 19
42 - 24
89 - 25
93 - 82
89 - 49
68 - 44
63 - 16
70 - 30
92 - 37
Max Avg Min
15 - 0
18 - 0
14 - 0
15 - 0
14 - 0
14 - 0
16 - 0
20 - 0
16 - 0
12 - 0
14 - 0
20 - 0
13 - 4
15 - 0
23 - 4
13 - 0
24 - 4
20 - 6
14 - 0
17 - 4
16 - 0
18 - 4
16 - 0
13 - 0
13 - 0
14 - 0
12 - 0
15 - 0
14 - 4
24 - 4
13 - 0
Max Avg Min
30.71 - 30.14
30.38 - 30.02
30.45 - 29.82
29.93 - 29.74
30.38 - 29.89
30.55 - 30.34
30.33 - 30.05
30.15 - 30.02
30.25 - 30.11
30.31 - 29.99
30.1 - 29.91
30.6 - 30.11
30.66 - 30.36
30.34 - 29.7
29.99 - 29.7
30.04 - 29.79
29.93 - 29.55
30.19 - 29.94
30.34 - 30.2
30.35 - 30.13
30.15 - 29.89
30.17 - 29.92
30.25 - 30.17
30.39 - 30.27
30.41 - 30.15
30.14 - 29.6
29.79 - 29.68
30.12 - 29.76
30.28 - 30.12
30.11 - 29.77
29.9 - 29.76
Max Avg Min
- 0.52 -
- 0.00 -
- 0.67 -
- 0.25 -
- 0.76 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 0.46 -
- 0.01 -
- 0.00 -
- 0.00 -
- 0.81 -
- 0.00 -
- 0.00 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.40 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.05 -
- 0.32 -
- 0.27 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.17 -
