May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
63 56 49
74 61 48
80 66 51
85 71 57
85 76 66
73 66 59
80 68 56
82 69 56
70 64 57
83 72 61
84 77 70
86 75 64
70 62 53
73 62 50
75 65 55
75 66 57
83 74 64
75 68 60
80 70 59
67 61 54
62 57 52
74 65 55
70 60 49
81 69 56
85 75 64
88 78 67
85 78 70
85 78 70
85 75 65
85 76 67
87 72 57
Max Avg Min
40 39 38
43 40 35
44 38 34
49 44 39
54 50 44
52 41 36
51 45 39
55 52 44
58 55 52
65 61 57
66 65 63
65 59 43
42 38 34
37 33 24
43 40 36
65 58 41
66 64 62
65 57 51
65 58 53
49 38 33
46 38 33
46 40 31
41 29 22
50 43 35
58 55 50
61 58 52
68 64 60
68 64 53
61 55 52
65 63 60
71 65 56
Max Avg Min
71 - 46
80 - 31
59 - 22
72 - 22
53 - 34
53 - 28
80 - 27
86 - 38
90 - 63
90 - 51
84 - 55
87 - 28
51 - 35
56 - 17
59 - 31
87 - 46
93 - 51
90 - 63
87 - 57
57 - 36
72 - 36
72 - 29
55 - 20
55 - 21
67 - 37
68 - 40
84 - 55
90 - 34
76 - 37
84 - 51
97 - 51
Max Avg Min
14 - 0
15 - 0
10 - 0
15 - 0
13 - 0
14 - 0
10 - 0
13 - 0
9 - 0
13 - 0
13 - 0
15 - 0
15 - 4
13 - 0
13 - 0
10 - 0
7 - 0
14 - 0
14 - 0
14 - 4
12 - 0
18 - 0
15 - 0
10 - 0
13 - 0
12 - 0
15 - 0
12 - 0
12 - 0
14 - 0
20 - 0
Max Avg Min
29.99 - 29.92
30.04 - 29.95
30.15 - 30.04
30.21 - 30.11
30.22 - 30.14
30.3 - 30.19
30.24 - 30.13
30.21 - 30.12
30.35 - 30.22
30.27 - 30.12
30.16 - 29.96
29.99 - 29.75
30.28 - 29.91
30.41 - 30.28
30.33 - 30.2
30.23 - 30.09
30.19 - 30.07
30.23 - 30.09
30.1 - 29.76
30.01 - 29.85
30.03 - 29.89
30.15 - 29.86
30.42 - 30.17
30.37 - 30.23
30.27 - 30.15
30.22 - 30.13
30.2 - 30.07
30.24 - 30.1
30.3 - 30.22
30.23 - 30.05
30.13 - 30
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.30 -
- 0.02 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.08 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.46 -
