Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
89 82 75
89 80 71
90 83 75
89 79 69
87 80 72
83 75 67
84 77 69
82 75 68
85 77 68
84 77 70
81 76 71
85 78 71
83 75 67
88 78 67
92 83 73
93 85 76
95 87 78
90 82 73
87 82 77
86 82 77
87 79 71
86 78 69
85 78 70
87 80 73
90 82 73
85 76 67
82 75 67
82 73 63
87 77 67
90 81 72
91 84 76
Max Avg Min
62 58 53
61 57 51
63 60 55
68 61 51
59 55 51
54 52 50
56 54 52
59 55 52
62 58 53
64 60 54
71 67 63
66 58 54
57 52 46
60 55 49
65 62 59
68 64 62
68 64 62
72 68 64
72 70 68
72 70 64
73 65 54
57 52 46
67 63 57
68 64 60
68 63 49
54 52 48
55 52 50
53 52 49
59 55 52
71 64 58
68 65 63
Max Avg Min
60 - 31
66 - 29
60 - 38
90 - 31
61 - 32
59 - 34
61 - 34
73 - 42
73 - 34
73 - 40
93 - 64
74 - 37
63 - 30
63 - 34
64 - 36
64 - 38
62 - 39
87 - 46
79 - 61
79 - 55
94 - 35
57 - 32
78 - 47
84 - 42
69 - 37
63 - 29
63 - 36
67 - 33
63 - 31
79 - 43
74 - 38
Max Avg Min
14 - 0
12 - 0
12 - 0
23 - 0
12 - 0
9 - 0
13 - 0
12 - 0
10 - 0
13 - 0
12 - 0
12 - 0
10 - 0
9 - 0
8 - 0
9 - 0
10 - 0
14 - 0
12 - 0
16 - 0
12 - 0
10 - 0
10 - 0
9 - 0
10 - 0
12 - 0
10 - 0
8 - 0
12 - 0
12 - 0
13 - 0
Max Avg Min
29.86 - 29.77
29.93 - 29.86
29.87 - 29.77
29.93 - 29.81
29.96 - 29.85
29.99 - 29.9
29.93 - 29.88
30 - 29.93
30.05 - 29.98
30.08 - 29.97
29.99 - 29.73
29.95 - 29.79
30.12 - 29.95
30.18 - 30.09
30.13 - 30.06
30.13 - 30.04
30.1 - 30
30.07 - 29.97
30.08 - 30.01
30.07 - 29.96
30.06 - 29.93
30.12 - 30.05
30.04 - 29.92
29.96 - 29.84
29.9 - 29.8
30.02 - 29.91
30.12 - 30
30.2 - 30.13
30.22 - 30.1
30.12 - 30
30.04 - 29.94
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.43 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.17 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.29 -
- 0.00 -
- 0.01 -
- 0.32 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.13 -
- 0.00 -
