Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max Avg Min
42 38 34
40 36 32
45 40 35
36 25 14
29 20 11
41 33 25
46 39 31
46 39 31
47 44 40
59 50 40
40 33 26
44 35 25
30 26 22
38 30 22
51 43 34
52 47 42
42 36 30
31 25 18
28 22 16
37 32 27
36 31 26
30 26 21
27 26 24
35 28 20
39 34 28
48 43 38
47 41 34
42 37 32
41 36 30
39 34 28
56 46 36
Max Avg Min
26 23 16
20 18 15
23 21 19
23 9 0
1 -3 -6
9 4 -1
22 11 4
39 29 18
42 38 32
56 46 23
20 8 1
29 15 2
7 4 2
22 12 1
40 31 20
41 37 29
28 23 17
24 6 -2
11 3 0
16 15 12
14 11 5
18 6 3
24 21 15
17 11 6
27 18 14
30 29 25
32 22 16
23 20 16
26 21 15
22 16 14
37 28 23
Max Avg Min
59 - 44
52 - 40
56 - 37
59 - 28
58 - 24
50 - 19
44 - 22
70 - 58
83 - 70
93 - 49
49 - 25
75 - 31
52 - 31
55 - 39
76 - 48
89 - 50
85 - 47
78 - 27
53 - 31
58 - 40
55 - 35
47 - 34
92 - 63
68 - 38
64 - 44
62 - 50
58 - 31
64 - 38
59 - 40
58 - 34
71 - 32
Max Avg Min
17 - 0
15 - 0
17 - 0
21 - 4
20 - 0
13 - 0
7 - 0
14 - 6
15 - 5
22 - 4
20 - 5
22 - 0
21 - 0
15 - 0
12 - 4
15 - 0
13 - 0
22 - 5
20 - 4
14 - 0
15 - 0
16 - 0
25 - 5
17 - 0
9 - 0
16 - 0
15 - 0
14 - 0
17 - 0
16 - 0
14 - 0
Max Avg Min
30.06 - 29.97
30.1 - 29.96
29.94 - 29.79
30.32 - 29.87
30.62 - 30.46
30.58 - 30.41
30.38 - 30.2
30.22 - 30.17
30.23 - 30.06
30.01 - 29.28
30.11 - 29.63
30.1 - 29.64
30.02 - 29.75
29.98 - 29.89
29.95 - 29.54
29.76 - 29.35
29.89 - 29.69
29.99 - 29.68
30.13 - 29.96
30.22 - 30.07
30.25 - 30.06
30.3 - 30.1
30.1 - 29.6
30.1 - 29.74
30.31 - 30.12
30.19 - 29.92
30.13 - 29.92
30.13 - 29.68
29.83 - 29.46
30.08 - 29.87
29.98 - 29.79
Max Avg Min
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 1.80 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.24 -
- 0.05 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.01 -
- 2.31 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
- 0.00 -
